,Hyper Parameters,Accuracy
0,"(500, 0.3, 0, 10)",71.0
1,"(500, 0.3, 0, 20)",71.9
2,"(500, 0.3, 2, 10)",60.7
3,"(500, 0.3, 2, 20)",65.1
4,"(500, 0.9, 0, 10)",71.9
5,"(500, 0.9, 0, 20)",71.6
6,"(500, 0.9, 2, 10)",65.9
7,"(500, 0.9, 2, 20)",68.1
8,"(100, 0.3, 0, 10)",70.9
9,"(100, 0.3, 0, 20)",71.2
10,"(100, 0.3, 2, 10)",59.1
11,"(100, 0.3, 2, 20)",64.5
12,"(100, 0.9, 0, 10)",72.0
13,"(100, 0.9, 0, 20)",71.5
14,"(100, 0.9, 2, 10)",60.9
15,"(100, 0.9, 2, 20)",68.0
16,"(200, 0.3, 0, 10)",71.2
17,"(200, 0.3, 0, 20)",71.0
18,"(200, 0.3, 2, 10)",57.1
19,"(200, 0.3, 2, 20)",64.3
20,"(200, 0.9, 0, 10)",72.1
21,"(200, 0.9, 0, 20)",72.2
22,"(200, 0.9, 2, 10)",64.8
23,"(200, 0.9, 2, 20)",67.5
