title,keywords,abstract,authors,journal,links,raw_title,mindate,maxdate,BERT_input
Contact-Lens Biosensors.,"biomarker, biosensor, contact lens, tear, wearable device","Rapid diagnosis screening diseases become increasingly important predictive preventive medicine improve patient treatment strategies reduce cost well burden healthcare system. regard, wearable devices emerging effective reliable point-of-care diagnostics allow users monitor health home. These wrist-worn, head-mounted, smart-textile, smart-patches devices offer valuable information conditions patients non-invasive form monitoring. However, significantly limited monitoring physiological signals biomechanics, and, mostly, rely physical attributes. Recently, developed wearable devices utilize body fluids, sweat, saliva, skin interstitial fluid, electrochemical interactions allow continuous physiological condition disease monitoring users. Among them, tear fluid widely utilized investigation ocular diseases, diabetes, even cancers, easy accessibility, lower complexity, minimal invasiveness. By determining concentration change analytes within tear fluid, would possible identify disease progression allow patient-oriented therapies. Considering emerging trend tear-based biosensing technology, review article aims focus overview tear fluid detection medium certain diseases, ocular disorders, diabetes, cancer. addition, rise application minimally invasive detection monitoring via integrated contact lens biosensors also addressed, regards practicality current developmental progress.","['Tseng RC, Chen CC, Hsu SM, Chuang HS']","Sensors (Basel, Switzerland)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/30104496""]Contact-Lens Biosensors.[/URL]",Contact-Lens Biosensors.,2020/12/12,2010/1/1,"Contact-Lens Biosensors. Rapid diagnosis and screening of diseases have become increasingly important in predictive and preventive medicine as they improve patient treatment strategies and reduce cost as well as burden on our healthcare system. In this regard, wearable devices are emerging as effective and reliable point-of-care diagnostics that can allow users to monitor their health at home. These wrist-worn, head-mounted, smart-textile, or smart-patches devices can offer valuable information on the conditions of patients as a non-invasive form of monitoring. However, they are significantly limited in monitoring physiological signals and biomechanics, and, mostly, rely on the physical attributes. Recently, developed wearable devices utilize body fluids, such as sweat, saliva, or skin interstitial fluid, and electrochemical interactions to allow continuous physiological condition and disease monitoring for users. Among them, tear fluid has been widely utilized in the investigation of ocular diseases, diabetes, and even cancers, because of its easy accessibility, lower complexity, and minimal invasiveness. By determining the concentration change of analytes within the tear fluid, it would be possible to identify disease progression and allow patient-oriented therapies. Considering the emerging trend of tear-based biosensing technology, this review article aims to focus on an overview of the tear fluid as a detection medium for certain diseases, such as ocular disorders, diabetes, and cancer. In addition, the rise and application of minimally invasive detection and monitoring via integrated contact lens biosensors will also be addressed, in regards to their practicality and current developmental progress."
Validation Wearable Sensor Measuring Running Biomechanics.,"bi-axial or tri-axial accelerometer devices, gait, monitor movement, wearable physical activity monitoring, wearables","Running biomechanics traditionally analyzed laboratory settings, may reflect natural running gait. Wearable sensors may offer alternative.","['Koldenhoven RM, Hertel J']",Digital biomarkers,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/32095758""]Validation of a Wearable Sensor for Measuring Running Biomechanics.[/URL]",Validation of a Wearable Sensor for Measuring Running Biomechanics.,2020/12/12,2010/1/1,"Validation of a Wearable Sensor for Measuring Running Biomechanics. Running biomechanics have traditionally been analyzed in laboratory settings, but this may not reflect natural running gait. Wearable sensors may offer an alternative."
Wearable sensors objectively measure gait parameters Parkinson's disease.,,"Distinct gait characteristics like short steps shuffling gait prototypical signs commonly observed Parkinson's disease. Routinely assessed observation clinicians, gait rated part categorical clinical scores. There increasing need provide quantitative measurements gait, e.g. provide detailed information disease progression. Recently, developed wearable sensor-based gait analysis system diagnostic tool objectively assesses gait parameter Parkinson's disease without need specialized gait laboratory. This system consists inertial sensor units attached laterally shoes. computed target measures spatiotemporal gait parameters including stride length time, stance phase time, heel-strike toe-off angle, toe clearance, inter-stride variation gait sequences. To translate prototype medical care, conducted cross-sectional study including 190 Parkinson's disease patients 101 age-matched controls measured gait characteristics 4x10 meter walk subjects' preferred speed. To determine intraindividual changes gait, monitored gait characteristics 63 patients longitudinally. Cross-sectional analysis revealed distinct spatiotemporal gait parameter differences reflecting typical Parkinson's disease gait characteristics including short steps, shuffling gait, postural instability specific different disease stages levels motor impairment. longitudinal analysis revealed gait parameters sensitive changes mirroring progressive nature Parkinson's disease corresponded physician ratings. Taken together, successfully show wearable sensor-based gait analysis reaches clinical applicability providing high biomechanical resolution gait impairment Parkinson's disease. These data demonstrate feasibility applicability objective wearable sensor-based gait measurement Parkinson's disease reaching high technological readiness levels both, large scale clinical studies individual patient care.","['Schlachetzki JCM, Barth J, Marxreiter F, Gossler J, Kohl Z, Reinfelder S, Gassner H, Aminian K, Eskofier BM, Winkler J, Klucken J']",PloS one,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/29020012""]Wearable sensors objectively measure gait parameters in Parkinson's disease.[/URL]",Wearable sensors objectively measure gait parameters in Parkinson's disease.,2020/12/12,2010/1/1,"Wearable sensors objectively measure gait parameters in Parkinson's disease. Distinct gait characteristics like short steps and shuffling gait are prototypical signs commonly observed in Parkinson's disease. Routinely assessed by observation through clinicians, gait is rated as part of categorical clinical scores. There is an increasing need to provide quantitative measurements of gait, e.g. to provide detailed information about disease progression. Recently, we developed a wearable sensor-based gait analysis system as diagnostic tool that objectively assesses gait parameter in Parkinson's disease without the need of having a specialized gait laboratory. This system consists of inertial sensor units attached laterally to both shoes. The computed target of measures are spatiotemporal gait parameters including stride length and time, stance phase time, heel-strike and toe-off angle, toe clearance, and inter-stride variation from gait sequences. To translate this prototype into medical care, we conducted a cross-sectional study including 190 Parkinson's disease patients and 101 age-matched controls and measured gait characteristics during a 4x10 meter walk at the subjects' preferred speed. To determine intraindividual changes in gait, we monitored the gait characteristics of 63 patients longitudinally. Cross-sectional analysis revealed distinct spatiotemporal gait parameter differences reflecting typical Parkinson's disease gait characteristics including short steps, shuffling gait, and postural instability specific for different disease stages and levels of motor impairment. The longitudinal analysis revealed that gait parameters were sensitive to changes by mirroring the progressive nature of Parkinson's disease and corresponded to physician ratings. Taken together, we successfully show that wearable sensor-based gait analysis reaches clinical applicability providing a high biomechanical resolution for gait impairment in Parkinson's disease. These data demonstrate the feasibility and applicability of objective wearable sensor-based gait measurement in Parkinson's disease reaching high technological readiness levels for both, large scale clinical studies and individual patient care."
Stretchable piezoelectric nanocomposite generator.,"composite, energy harvesting, flexible, piezoelectric, self-powered system, stretchable nanogenerator","Piezoelectric energy conversion generate electric energy ambient mechanical vibrational movements promising energy harvesting technology use accessible energy resources renewable natural energy. particular, flexible stretchable piezoelectric energy harvesters harvest tiny biomechanical motions inside human body electricity properly facilitate self-powered energy system flexible wearable electronics also sensitive piezoelectric sensors motion detectors vivo diagnosis kits. Since piezoelectric ZnO nanowires (NWs)-based energy harvesters (nanogenerators) proposed 2006, many researchers attempted nanogenerator using various fabrication process nanowire growth, electrospinning, transfer techniques piezoelectric materials including polyvinylidene fluoride (PVDF) polymer perovskite ceramics. 2012, composite-based nanogenerators developed using simple, low-cost, scalable methods overcome significant issues previously-reported energy harvester, insufficient output performance size limitation. This review paper provides brief overview flexible stretchable piezoelectric nanocomposite generator realizing self-powered energy system development history, power performance, applications.","['Park KI, Jeong CK, Kim NK, Lee KJ']",Nano convergence,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/28191422""]Stretchable piezoelectric nanocomposite generator.[/URL]",Stretchable piezoelectric nanocomposite generator.,2020/12/12,2010/1/1,"Stretchable piezoelectric nanocomposite generator. Piezoelectric energy conversion that generate electric energy from ambient mechanical and vibrational movements is promising energy harvesting technology because it can use more accessible energy resources than other renewable natural energy. In particular, flexible and stretchable piezoelectric energy harvesters which can harvest the tiny biomechanical motions inside human body into electricity properly facilitate not only the self-powered energy system for flexible and wearable electronics but also sensitive piezoelectric sensors for motion detectors and in vivo diagnosis kits. Since the piezoelectric ZnO nanowires (NWs)-based energy harvesters (nanogenerators) were proposed in 2006, many researchers have attempted the nanogenerator by using the various fabrication process such as nanowire growth, electrospinning, and transfer techniques with piezoelectric materials including polyvinylidene fluoride (PVDF) polymer and perovskite ceramics. In 2012, the composite-based nanogenerators were developed using simple, low-cost, and scalable methods to overcome the significant issues with previously-reported energy harvester, such as insufficient output performance and size limitation. This review paper provides a brief overview of flexible and stretchable piezoelectric nanocomposite generator for realizing the self-powered energy system with development history, power performance, and applications."
Fracture healing redefined.,,"It well established local mechanical conditions interfragmentary movement important factors successful bone healing may vary dramatically patient fracture-load activity. Up however technically impossible use key influence parameters aftercare treatment process human lower extremity fractures. We propose theory state art sensor technology biomechanical influences monitored vivo, also used individualized therapy protocols. Local measurement systems fracture healing available remain research tools, due various technical issues. To investigate biomechanical influences healing right away surrogate sensor tools needed. Various gait characteristics proposed surrogate measures. Currently available sensor tools could modified appropriate support structure allow measurements continuously course fracture healing. Interdisciplinary work clinicians, software engineers computer biomechanical simulations needed. Through sensor system human boundary conditions fracture healing could defined first time, also used unique, extendible aftercare system. With tool critical healing situations would detected much earlier could prevented easy activity modifications, reducing patient socioeconomic burden disease. hypothesis, necessary tools support structures presented.","['Braun BJ, Rollmann M, Veith N, Pohlemann T']",Medical hypotheses,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/26364044""]Fracture healing redefined.[/URL]",Fracture healing redefined.,2020/12/12,2010/1/1,"Fracture healing redefined. It is well established that local mechanical conditions and interfragmentary movement are important factors for successful bone healing and may vary dramatically with patient fracture-load and activity. Up until now however it was technically impossible to use these key influence parameters in the aftercare treatment process of human lower extremity fractures. We propose a theory that with state of the art sensor technology these biomechanical influences can not only be monitored in vivo, but also used for individualized therapy protocols. Local measurement systems for fracture healing are available but remain research tools, due to various technical issues. To investigate the biomechanical influences on healing right away surrogate sensor tools are needed. Various gait characteristics have been proposed as surrogate measures. Currently available sensor tools could be modified with the appropriate support structure to allow such measurements continuously over the course of a fracture healing. Interdisciplinary work between clinicians, software engineers with computer and biomechanical simulations is needed. Through such a sensor system human boundary conditions for fracture healing could not only be defined for the first time, but also used for a unique, extendible aftercare system. With this tool critical healing situations would be detected much earlier and could be prevented with easy activity modifications, reducing patient and socioeconomic burden of disease. The hypothesis, necessary tools and support structures are presented. "
All printable snow-based triboelectric nanogenerator.,"all printable, arctic, energy harvesting, self-powered, snow-triboelectrification, wearables, weather station","development power generators function harsh snowy environments contact snow beneficial challenging accomplish. Herein, introduce first snow-based triboelectric nanogenerator (snow-TENG) used energy harvester multifunctional sensor based principle snow-triboelectrification. work, used 3D printing technique precise design deposition electrode triboelectric layer, leading flexible, stretchable metal-free triboelectric generators. Based single electrode mode, device generate instantaneous output power density high 0.2 mW/m<sup>2</sup>, open circuit voltage 8 V, current density 40 μA/m<sup>2</sup>. addition, snow-TENG function miniaturized weather station monitor weather real time provide accurate information snowfall rate, snow accumulation depth, wind direction, speed snowy and/or icy environments. addition, snow-TENG used wearable power source biomechanical sensor detect human body motions, may prove useful snow-related sports. Unlike conventional sensor platforms, design works without need batteries image processing systems. We envision devices could potentially integrated solar panels ensure continuous power supply snowy weather conditions.","['Ahmed A, Hassan I, Mosa IM, Elsanadidy E, Phadke GS, El-Kady MF, Rusling JF, Selvaganapathy PR, Kaner RB']",Nano energy,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/32953424""]All printable snow-based triboelectric nanogenerator.[/URL]",All printable snow-based triboelectric nanogenerator.,2020/12/12,2010/1/1,"All printable snow-based triboelectric nanogenerator. The development of power generators that can function in harsh snowy environments and in contact with snow can be beneficial but challenging to accomplish. Herein, we introduce the first snow-based triboelectric nanogenerator (snow-TENG) that can be used as an energy harvester and a multifunctional sensor based on the principle of snow-triboelectrification. In this work, we used a 3D printing technique for the precise design and deposition of the electrode and triboelectric layer, leading to flexible, stretchable and metal-free triboelectric generators. Based on the single electrode mode, the device can generate an instantaneous output power density as high as 0.2 mW/m<sup>2</sup>, an open circuit voltage up to 8 V, and a current density of 40 μA/m<sup>2</sup>. In addition, the snow-TENG can function as a miniaturized weather station to monitor the weather in real time to provide accurate information about the snowfall rate, snow accumulation depth, wind direction, and speed in snowy and/or icy environments. In addition, the snow-TENG can be used as a wearable power source and biomechanical sensor to detect human body motions, which may prove useful for snow-related sports. Unlike conventional sensor platforms, our design works without the need for batteries or image processing systems. We envision these devices could potentially be integrated into solar panels to ensure continuous power supply during snowy weather conditions."
Resonant Frequency Skin Stretch Wearable Haptics.,,"Resonant frequency skin stretch uses cyclic lateral skin stretches matching skin's resonant frequency create highly noticeable stimuli, signifying new approach wearable haptic stimulation. Four experiments performed explore biomechanical perceptual aspects resonant frequency skin stretch. first experiment, effective skin resonant frequencies quantified forearm, shank, foot. second experiment, perceived haptic stimuli characterized skin stretch actuations across spectrum frequencies. third experiment, perceived haptic stimuli characterized different actuator masses. fourth experiment, haptic classification ability determined subjects differentiated haptic stimulation cues sitting, walking, jogging. Results showed subjects perceived stimulations at, above, skin's resonant frequency differently: stimulations lower skin resonant frequency felt like distinct impacts, stimulations skin resonant frequency felt like cyclic skin stretches, stimulations higher skin resonant frequency felt like standard vibrations. Subjects successfully classified stimulations sitting, walking, jogging, perceived haptic stimuli affected actuator mass, classification accuracy decreased increasing speed, especially stimulations shank. This paper could facilitate widespread use wearable skin stretch. Potential applications include gaming, medical simulation, surgical augmentation, training reduce injury risk improve sports performance.","['Shull PB, Tan T, Culbertson H, Zhu X, Okamura AM']",IEEE transactions on haptics,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31095499""]Resonant Frequency Skin Stretch for Wearable Haptics.[/URL]",Resonant Frequency Skin Stretch for Wearable Haptics.,2020/12/12,2010/1/1,"Resonant Frequency Skin Stretch for Wearable Haptics. Resonant frequency skin stretch uses cyclic lateral skin stretches matching the skin's resonant frequency to create highly noticeable stimuli, signifying a new approach for wearable haptic stimulation. Four experiments were performed to explore biomechanical and perceptual aspects of resonant frequency skin stretch. In the first experiment, effective skin resonant frequencies were quantified at the forearm, shank, and foot. In the second experiment, perceived haptic stimuli were characterized for skin stretch actuations across a spectrum of frequencies. In the third experiment, perceived haptic stimuli were characterized by different actuator masses. In the fourth experiment, haptic classification ability was determined as subjects differentiated haptic stimulation cues while sitting, walking, and jogging. Results showed that subjects perceived stimulations at, above, and below the skin's resonant frequency differently: stimulations lower than the skin resonant frequency felt like distinct impacts, stimulations at the skin resonant frequency felt like cyclic skin stretches, and stimulations higher than the skin resonant frequency felt like standard vibrations. Subjects successfully classified stimulations while sitting, walking, and jogging, perceived haptic stimuli was affected by actuator mass, and classification accuracy decreased with increasing speed, especially for stimulations at the shank. This paper could facilitate more widespread use of wearable skin stretch. Potential applications include gaming, medical simulation, and surgical augmentation, and for training to reduce injury risk or improve sports performance."
Computational imaging sperm locomotion.,"computational imaging, holography, on-chip imaging, semen analysis, sperm imaging","Not essential scientific research, also analysis male fertility animal husbandry, sperm tracking characterization techniques greatly benefiting computational imaging. Digital image sensors, combination optical microscopy tools powerful computers, enabled use advanced detection tracking algorithms automatically map sperm trajectories calculate various motility parameters across large data sets. Computational techniques driving field even further, facilitating development unconventional sperm imaging tracking methods rely standard optical microscopes objective lenses, limit field view volume semen sample imaged. As example, holographic on-chip sperm imaging platform, composed light-emitting diode opto-electronic image sensor, emerged high-throughput, low-cost portable alternative lens-based traditional sperm imaging tracking methods. approach, sample placed close image sensor chip, captures lensfree holograms generated interference background illumination light scattered sperm cells. These holographic patterns digitally processed extract amplitude phase information spermatozoa, effectively replacing microscope objective lens computation. This platform enabled high-throughput 3D imaging spermatozoa submicron 3D positioning accuracy large sample volumes, revealing various rare locomotion patterns. We believe computational chip-scale sperm imaging 3D tracking techniques find numerous opportunities sperm related research commercial applications.","['Daloglu MU, Ozcan A']",Biology of reproduction,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/29044431""]Computational imaging of sperm locomotion.[/URL]",Computational imaging of sperm locomotion.,2020/12/12,2010/1/1,"Computational imaging of sperm locomotion. Not only essential for scientific research, but also in the analysis of male fertility and for animal husbandry, sperm tracking and characterization techniques have been greatly benefiting from computational imaging. Digital image sensors, in combination with optical microscopy tools and powerful computers, have enabled the use of advanced detection and tracking algorithms that automatically map sperm trajectories and calculate various motility parameters across large data sets. Computational techniques are driving the field even further, facilitating the development of unconventional sperm imaging and tracking methods that do not rely on standard optical microscopes and objective lenses, which limit the field of view and volume of the semen sample that can be imaged. As an example, a holographic on-chip sperm imaging platform, only composed of a light-emitting diode and an opto-electronic image sensor, has emerged as a high-throughput, low-cost and portable alternative to lens-based traditional sperm imaging and tracking methods. In this approach, the sample is placed very close to the image sensor chip, which captures lensfree holograms generated by the interference of the background illumination with the light scattered from sperm cells. These holographic patterns are then digitally processed to extract both the amplitude and phase information of the spermatozoa, effectively replacing the microscope objective lens with computation. This platform has further enabled high-throughput 3D imaging of spermatozoa with submicron 3D positioning accuracy in large sample volumes, revealing various rare locomotion patterns. We believe that computational chip-scale sperm imaging and 3D tracking techniques will find numerous opportunities in both sperm related research and commercial applications."
Influence wearable posture correction sensor head neck posture: Sitting standing workstations.,"wearable sensor, biomechanics, posture, psychophysics, workstation",Flexed head neck postures associated development neck pain office environment. There little evidence regarding whether wearable posture sensor would improve head neck postures office workers.,"['Ailneni RC, Syamala KR, Kim IS, Hwang J']","Work (Reading, Mass.)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/30741711""]Influence of the wearable posture correction sensor on head and neck posture: Sitting and standing workstations.[/URL]",Influence of the wearable posture correction sensor on head and neck posture: Sitting and standing workstations.,2020/12/12,2010/1/1,Influence of the wearable posture correction sensor on head and neck posture: Sitting and standing workstations. Flexed head and neck postures are associated with the development of neck pain in the office environment. There is little evidence regarding whether a wearable posture sensor would improve the head and neck postures of office workers.
Cueing Paradigms Improve Gait Posture Parkinson's Disease: Narrative Review.,"parkinson’s disease, cueing, gait, posture, rehabilitation, wearable sensors","Progressive gait dysfunction one primary motor symptoms people Parkinson's disease (PD). It generally expressed reduced step length gait speed increased variability step time step length. People PD also exhibit stooped posture disrupts gait impedes social interaction. gait posture impairments usually resistant pharmacological treatment, worsen disease progresses, increase likelihood falls, result higher rates hospitalization mortality. These impairments may caused perceptual deficiencies (poor spatial awareness loss temporal rhythmicity) due disruptions processing intrinsic information related movement initiation execution result misperceptions actual effort required perform desired movement maintain stable posture. Consequently, people PD often depend external cues execution motor tasks. Numerous studies involving open-loop cues shown improvements gait freezing gait (FoG) people PD. However, benefits cueing may limited, since cues provided consistent/rhythmic manner irrespective well person follows them. This limitation addressed providing feedback real-time user performance (closed-loop cueing) may help improve movement patterns. Some studies used closed-loop cueing observed improvements gait posture PD, treadmill-based setup laboratory would accessible outside research setting, skills learned may readily completely transfer overground locomotion community. Technologies suitable cueing outside laboratory environments could facilitate movement practice daily activities home community could strongly reinforce movement patterns improve clinical outcomes. This narrative review presents overview cueing paradigms utilized improve gait posture people PD recommends development closed-loop wearable systems used home community improve gait posture PD.","['Muthukrishnan N, Abbas JJ, Shill HA, Krishnamurthi N']","Sensors (Basel, Switzerland)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31835870""]Cueing Paradigms to Improve Gait and Posture in Parkinson's Disease: A Narrative Review.[/URL]",Cueing Paradigms to Improve Gait and Posture in Parkinson's Disease: A Narrative Review.,2020/12/12,2010/1/1,"Cueing Paradigms to Improve Gait and Posture in Parkinson's Disease: A Narrative Review. Progressive gait dysfunction is one of the primary motor symptoms in people with Parkinson's disease (PD). It is generally expressed as reduced step length and gait speed and as increased variability in step time and step length. People with PD also exhibit stooped posture which disrupts gait and impedes social interaction. The gait and posture impairments are usually resistant to the pharmacological treatment, worsen as the disease progresses, increase the likelihood of falls, and result in higher rates of hospitalization and mortality. These impairments may be caused by perceptual deficiencies (poor spatial awareness and loss of temporal rhythmicity) due to the disruptions in processing intrinsic information related to movement initiation and execution which can result in misperceptions of the actual effort required to perform a desired movement and maintain a stable posture. Consequently, people with PD often depend on external cues during execution of motor tasks. Numerous studies involving open-loop cues have shown improvements in gait and freezing of gait (FoG) in people with PD. However, the benefits of cueing may be limited, since cues are provided in a consistent/rhythmic manner irrespective of how well a person follows them. This limitation can be addressed by providing feedback in real-time to the user about performance (closed-loop cueing) which may help to improve movement patterns. Some studies that used closed-loop cueing observed improvements in gait and posture in PD, but the treadmill-based setup in a laboratory would not be accessible outside of a research setting, and the skills learned may not readily and completely transfer to overground locomotion in the community. Technologies suitable for cueing outside of laboratory environments could facilitate movement practice during daily activities at home or in the community and could strongly reinforce movement patterns and improve clinical outcomes. This narrative review presents an overview of cueing paradigms that have been utilized to improve gait and posture in people with PD and recommends development of closed-loop wearable systems that can be used at home or in the community to improve gait and posture in PD."
