title,keywords,everything,topic,authors,journal,links
preventive effect and mechanism of puerarin on rat models of disuse osteoporosis.,disuse osteoporosis mechanism study prevention and treatment effect puerarin,preventive effect and mechanism of puerarin on rat models of disuse osteoporosis.,BONE,"Li K, Qin R, Shao JL, Gao YH, Zhou J, Chen KM,",*Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica*,* [[Preventive effect and mechanism of puerarin on rat models of disuse osteoporosis].](https://www.ncbi.nlm.nih.gov/pubmed/30989919)
computational modeling of bone cells and their biomechanical behaviors in responses to mechanical stimuli.,,computational modeling of bone cells and their biomechanical behaviors in responses to mechanical stimuli.,BONE,"Wang L, Dong J, Xian CJ,",*Critical reviews in eukaryotic gene expression*,* [Computational Modeling of Bone Cells and Their Biomechanical Behaviors in Responses to Mechanical Stimuli.](https://www.ncbi.nlm.nih.gov/pubmed/31002595)
biomechanical compatibility of high strength nickel free stainless steel bone plate under lightweight design.,biocompatibility biomechanical high nitrogen stainless steel lightweight stress shielding,biomechanical compatibility of high strength nickel free stainless steel bone plate under lightweight design.,BONE,"Ren Y, Zhao H, Yang K, Zhang Y,","*Materials science & engineering. C, Materials for biological applications*",* [Biomechanical compatibility of high strength nickel free stainless steel bone plate under lightweight design.](https://www.ncbi.nlm.nih.gov/pubmed/31029335)
do antiosteoporotic drugs improve bone regeneration in vivo?,alendronate femur defect osteoporosis parathormone raloxifen simvastatin strontium ranelate,do antiosteoporotic drugs improve bone regeneration in vivo?,BONE,"Leiblein M, Henrich D, Fervers F, Kontradowitz K, Marzi I, Seebach C,",*European journal of trauma and emergency surgery : official publication of the European Trauma Society*,* [Do antiosteoporotic drugs improve bone regeneration in vivo?](https://www.ncbi.nlm.nih.gov/pubmed/31028428)
effects of rhizoma drynariae cataplasm on fracture healing in a rat model of osteoporosis.,,effects of rhizoma drynariae cataplasm on fracture healing in a rat model of osteoporosis.,BONE,"Guo W, Shi K, Xiang G, Lu D, Dou H, Xie C, Chen L,",*Medical science monitor : international medical journal of experimental and clinical research*,* [Effects of Rhizoma Drynariae Cataplasm on Fracture Healing in a Rat Model of Osteoporosis.](https://www.ncbi.nlm.nih.gov/pubmed/31030207)
distal radius and tibia bone microarchitecture impairment in female patients with diffuse systemic sclerosis.,acroosteolysis grip strength hr-pqct radius range of motion systemic sclerosis tibia,distal radius and tibia bone microarchitecture impairment in female patients with diffuse systemic sclerosis.,BONE,"Sampaio-Barros MM, Alvarenga JC, Takayama L, Assad APL, Sampaio-Barros PD, Pereira RMR,",*Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA*,* [Distal radius and tibia bone microarchitecture impairment in female patients with diffuse systemic sclerosis.](https://www.ncbi.nlm.nih.gov/pubmed/31030240)
autologous activated platelet-rich plasma (prp) in bone tissue healing - does it work? assessment of prp effect on bone defect healing in animal models.,bone defects bone regeneration platelet-rich plasma rabbit model,autologous activated platelet-rich plasma (prp) in bone tissue healing - does it work? assessment of prp effect on bone defect healing in animal models.,BONE,"Skwarcz S, Bryzek I, Gregosiewicz A, Warda E, Gawęda K, Tarczyńska M, Węgłowski R, Skwarcz J, Nadulski R, Starek A, Sanford J,",*Polish journal of veterinary sciences*,* [Autologous activated platelet-rich plasma (PRP) in bone tissue healing - does it work? Assessment of PRP effect on bone defect healing in animal models.](https://www.ncbi.nlm.nih.gov/pubmed/30997778)
protective effects of moderate ca supplementation against cd-induced bone damage under different population-relevant doses in young female rats.,bone cadmium calcium fibroblast growth factor 23 klotho,protective effects of moderate ca supplementation against cd-induced bone damage under different population-relevant doses in young female rats.,BONE,"Huang X, Liu T, Zhao M, Fu H, Wang J, Xu Q,",*Nutrients*,* [Protective Effects of Moderate Ca Supplementation against Cd-Induced Bone Damage under Different Population-Relevant Doses in Young Female Rats.](https://www.ncbi.nlm.nih.gov/pubmed/30991710)
connexin 43 hemichannels protect bone loss during estrogen deficiency.,bone bone quality and biomechanics,connexin 43 hemichannels protect bone loss during estrogen deficiency.,BONE,"Ma L, Hua R, Tian Y, Cheng H, Fajardo RJ, Pearson JJ, Guda T, Shropshire DB, Gu S, Jiang JX,",*Bone research*,* [Connexin 43 hemichannels protect bone loss during estrogen deficiency.](https://www.ncbi.nlm.nih.gov/pubmed/31016065)
correlation between reduction quality of femoral neck fracture and femoral head necrosis based on biomechanics.,femoral head necrosis femoral neck fracture finite element analysis gait reduction quality,correlation between reduction quality of femoral neck fracture and femoral head necrosis based on biomechanics.,BONE,"Wang Y, Ma JX, Yin T, Han Z, Cui SS, Liu ZP, Ma XL,",*Orthopaedic surgery*,* [Correlation Between Reduction Quality of Femoral Neck Fracture and Femoral Head Necrosis Based on Biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31025811)
