title,topic,authors,journal,links
distal radius and tibia bone microarchitecture impairment in female patients with diffuse systemic sclerosis.,BONE,"Sampaio-Barros MM, Alvarenga JC, Takayama L, Assad APL, Sampaio-Barros PD, Pereira RMR,",*Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA*,* [Distal radius and tibia bone microarchitecture impairment in female patients with diffuse systemic sclerosis.](https://www.ncbi.nlm.nih.gov/pubmed/31030240)
effects of rhizoma drynariae cataplasm on fracture healing in a rat model of osteoporosis.,BONE,"Guo W, Shi K, Xiang G, Lu D, Dou H, Xie C, Chen L,",*Medical science monitor : international medical journal of experimental and clinical research*,* [Effects of Rhizoma Drynariae Cataplasm on Fracture Healing in a Rat Model of Osteoporosis.](https://www.ncbi.nlm.nih.gov/pubmed/31030207)
"selection for longer limbs in mice increases bone stiffness and brittleness, but does not alter bending strength.",BONE,"Cosman MN, Britz HM, Rolian C,",*The Journal of experimental biology*,"* [Selection for longer limbs in mice increases bone stiffness and brittleness, but does not alter bending strength.](https://www.ncbi.nlm.nih.gov/pubmed/31043455)"
retrospective long-term follow-up survival analysis of the management of osteonecrosis of the femoral head with pedicled vascularized iliac bone graft transfer.,BONE,"Xie H, Wang B, Tian S, Liu B, Qin K, Zhao D,",*The Journal of arthroplasty*,* [Retrospective Long-Term Follow-Up Survival Analysis of the Management of Osteonecrosis of the Femoral Head With Pedicled Vascularized Iliac Bone Graft Transfer.](https://www.ncbi.nlm.nih.gov/pubmed/31031157)
utilizing multiple biomems sensors to monitor orthopaedic strain and predict bone fracture healing.,BONE,"Wolynski JG, Sutherland CJ, Demir HV, Unal E, Alipour A, Puttlitz CM, McGilvray KC,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Utilizing Multiple bioMEMS Sensors to Monitor Orthopaedic Strain and Predict Bone Fracture Healing.](https://www.ncbi.nlm.nih.gov/pubmed/31042313)
"the rorschach butterfly, understanding bone biomechanics prior to using nomenclature in bone trauma interpretations.",BONE,"L'Abbé EN, Symes SA, Raymond DE, Ubelaker DH,",*Forensic science international*,"* [The Rorschach butterfly, understanding bone biomechanics prior to using nomenclature in bone trauma interpretations.](https://www.ncbi.nlm.nih.gov/pubmed/31035136)"
biomechanical compatibility of high strength nickel free stainless steel bone plate under lightweight design.,BONE,"Ren Y, Zhao H, Yang K, Zhang Y,","*Materials science & engineering. C, Materials for biological applications*",* [Biomechanical compatibility of high strength nickel free stainless steel bone plate under lightweight design.](https://www.ncbi.nlm.nih.gov/pubmed/31029335)
the resveratrol rice dj526 callus significantly increases the lifespan of  drosophila (resveratrol rice dj526 callus for longevity).,BONE,"Khan M, Park S, Kim HJ, Lee KJ, Kim DH, Baek SH, Hong ST,",*Nutrients*,* [The Resveratrol Rice DJ526 Callus Significantly Increases the Lifespan of <i>Drosophila</i> (Resveratrol Rice DJ526 Callus for Longevity).](https://www.ncbi.nlm.nih.gov/pubmed/31036789)
biomechanical evaluation of promising different bone substitutes in a clinically relevant test set-up.,BONE,"Brueckner T, Heilig P, Jordan MC, Paul MM, Blunk T, Meffert RH, Gbureck U, Hoelscher-Doht S,","*Materials (Basel, Switzerland)*",* [Biomechanical Evaluation of Promising Different Bone Substitutes in a Clinically Relevant Test Set-Up.](https://www.ncbi.nlm.nih.gov/pubmed/31035473)
bone material properties of human phalanges using vickers indentation.,BONE,"Yin B, Guo JL, Wang JZ, Li S, Liu YK, Zhang YZ,",*Orthopaedic surgery*,* [Bone Material Properties of Human Phalanges Using Vickers Indentation.](https://www.ncbi.nlm.nih.gov/pubmed/31037844)
effect of side struts on the strength of long arm plaster splints: a biomechanical study.,BONE,"Thompson SF, McBride C, Conant SH, Moore MC, Lewis TR,",*Journal of pediatric orthopedics*,* [Effect of Side Struts on the Strength of Long Arm Plaster Splints: A Biomechanical Study.](https://www.ncbi.nlm.nih.gov/pubmed/31045629)
paternal thc exposure in rats causes long-lasting neurobehavioral effects in the offspring.,BONE,"Levin ED, Hawkey AB, Hall BJ, Cauley M, Slade S, Yazdani E, Kenou B, White H, Wells C, Rezvani AH, Murphy SK,",*Neurotoxicology and teratology*,* [Paternal THC exposure in rats causes long-lasting neurobehavioral effects in the offspring.](https://www.ncbi.nlm.nih.gov/pubmed/31028824)
a novel hybrid compound llp2a-alendronate accelerates open fracture healing in a rabbit model.,BONE,"Wang Z, Zhao Y, Zhang D, Qi B, Xiao W, Hu X, Yu A,","*Drug design, development and therapy*",* [A novel hybrid compound LLP2A-alendronate accelerates open fracture healing in a rabbit model.](https://www.ncbi.nlm.nih.gov/pubmed/31040645)
do antiosteoporotic drugs improve bone regeneration in vivo?,BONE,"Leiblein M, Henrich D, Fervers F, Kontradowitz K, Marzi I, Seebach C,",*European journal of trauma and emergency surgery : official publication of the European Trauma Society*,* [Do antiosteoporotic drugs improve bone regeneration in vivo?](https://www.ncbi.nlm.nih.gov/pubmed/31028428)
role of periostin in cardiac valve development.,CARDIOVASCULAR/CARDIOPULMONARY,"Markwald RR, Moreno-Rodriguez RA, Ghatak S, Misra S, Norris RA, Sugi Y,",*Advances in experimental medicine and biology*,* [Role of Periostin in Cardiac Valve Development.](https://www.ncbi.nlm.nih.gov/pubmed/31037635)
prevalence of type iii arch configuration in patients with type b aortic dissection.,CARDIOVASCULAR/CARDIOPULMONARY,"Marrocco-Trischitta MM, Rylski B, Schofer F, Secchi F, Piffaretti G, de Beaufort H, Belvroy V, Bismuth J, Czerny M, Trimarchi S,",*European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery*,* [Prevalence of type III arch configuration in patients with type B aortic dissection.](https://www.ncbi.nlm.nih.gov/pubmed/31038681)
mavacamten treatment for obstructive hypertrophic cardiomyopathy: a clinical trial.,CARDIOVASCULAR/CARDIOPULMONARY,"Heitner SB, Jacoby D, Lester SJ, Owens A, Wang A, Zhang D, Lambing J, Lee J, Semigran M, Sehnert AJ,",*Annals of internal medicine*,* [Mavacamten Treatment for Obstructive Hypertrophic Cardiomyopathy: A Clinical Trial.](https://www.ncbi.nlm.nih.gov/pubmed/31035291)
pulmonary and respiratory muscle function in response to marathon and ultra-marathon running: a review.,CARDIOVASCULAR/CARDIOPULMONARY,"Tiller NB,","*Sports medicine (Auckland, N.Z.)*",* [Pulmonary and Respiratory Muscle Function in Response to Marathon and Ultra-Marathon Running: A Review.](https://www.ncbi.nlm.nih.gov/pubmed/31030408)
molecular changes in peripheral blood involving osteoarthritic joint remodelling.,CARDIOVASCULAR/CARDIOPULMONARY,"Zhang HY, Liu Q, Liu JQ, Wang J, Yang HX, Xu XJ, Xie MJ, Liu XD, Yu SB, Zhang M, Lu L, Zhang J, Wang MQ,",*Journal of oral rehabilitation*,* [Molecular Changes in Peripheral Blood Involving Osteoarthritic Joint Remodelling.](https://www.ncbi.nlm.nih.gov/pubmed/31046158)
on the role of material properties in ascending thoracic aortic aneurysms.,CARDIOVASCULAR/CARDIOPULMONARY,"Cosentino F, Agnese V, Raffa GM, Gentile G, Bellavia D, Zingales M, Pilato M, Pasta S,",*Computers in biology and medicine*,* [On the role of material properties in ascending thoracic aortic aneurysms.](https://www.ncbi.nlm.nih.gov/pubmed/31035073)
ultra-small gadolinium oxide nanocrystal sensitization of non-small-cell lung cancer cells toward x-ray irradiation by promoting cytostatic autophagy.,CELLULAR/SUBCELLULAR,"Li F, Li Z, Jin X, Liu Y, Zhang P, Li P, Shen Z, Wu A, Chen W, Li Q,",*International journal of nanomedicine*,* [Ultra-small gadolinium oxide nanocrystal sensitization of non-small-cell lung cancer cells toward X-ray irradiation by promoting cytostatic autophagy.](https://www.ncbi.nlm.nih.gov/pubmed/31040665)
age-dependent variation of lamina cribrosa displacement during the standardized valsalva maneuver.,CELLULAR/SUBCELLULAR,"Kim YW, Lee DH, Lim HB, Oh BL, Kim YK, Girard MJA, Mari JM, Park KH, Jeoung JW,",*Scientific reports*,* [Age-Dependent Variation of Lamina Cribrosa Displacement During the Standardized Valsalva Maneuver.](https://www.ncbi.nlm.nih.gov/pubmed/31040379)
engineering the cellular mechanical microenvironment - from bulk mechanics to the nanoscale.,CELLULAR/SUBCELLULAR,"Matellan C, Del Río Hernández AE,",*Journal of cell science*,* [Engineering the cellular mechanical microenvironment - from bulk mechanics to the nanoscale.](https://www.ncbi.nlm.nih.gov/pubmed/31040223)
the impact of plasmodium berghei exposure in-utero on neurobehavioral profile in mice.,CELLULAR/SUBCELLULAR,"Okojie AK, Rauf K, Iyare E,",*Basic and clinical neuroscience*,* [The Impact of Plasmodium Berghei Exposure In-utero on Neurobehavioral Profile in Mice.](https://www.ncbi.nlm.nih.gov/pubmed/31031897)
linking mitochondrial dysfunction to organismal and population health in context of environmental pollutants: progress and considerations for mitochondrial adverse outcome pathways.,CELLULAR/SUBCELLULAR,"Dreier DA, Mello D, Meyer J, Martyniuk CJ,",*Environmental toxicology and chemistry*,* [Linking mitochondrial dysfunction to organismal and population health in context of environmental pollutants: Progress and considerations for mitochondrial adverse outcome pathways.](https://www.ncbi.nlm.nih.gov/pubmed/31034624)
glycation of collagen matrices promotes breast tumor cell invasion.,CELLULAR/SUBCELLULAR,"Suh YJ, Hall MS, Huang YL, Moon SY, Song W, Ma M, Bonassar LJ, Segall JE, Wu M,",*Integrative biology : quantitative biosciences from nano to macro*,* [Glycation of collagen matrices promotes breast tumor cell invasion.](https://www.ncbi.nlm.nih.gov/pubmed/31041443)
characterization of cytoplasmic viscosity of hundreds of single tumour cells based on micropipette aspiration.,CELLULAR/SUBCELLULAR,"Wang K, Sun XH, Zhang Y, Zhang T, Zheng Y, Wei YC, Zhao P, Chen DY, Wu HA, Wang WH, Long R, Wang JB, Chen J,",*Royal Society open science*,* [Characterization of cytoplasmic viscosity of hundreds of single tumour cells based on micropipette aspiration.](https://www.ncbi.nlm.nih.gov/pubmed/31032026)
chemotherapy-induced cachexia dysregulates hypothalamic and systemic lipoamines and is attenuated by cannabigerol.,CELLULAR/SUBCELLULAR,"Brierley DI, Harman JR, Giallourou N, Leishman E, Roashan AE, Mellows BAD, Bradshaw HB, Swann JR, Patel K, Whalley BJ, Williams CM,","*Journal of cachexia, sarcopenia and muscle*",* [Chemotherapy-induced cachexia dysregulates hypothalamic and systemic lipoamines and is attenuated by cannabigerol.](https://www.ncbi.nlm.nih.gov/pubmed/31035309)
förster resonance energy transfer pioneers biomechanics: molecular-scale force meters for visualizing intracellular stress fields.,CELLULAR/SUBCELLULAR,"Bene L, Damjanovich L,",*Cytometry. Part A : the journal of the International Society for Analytical Cytology*,* [Förster Resonance Energy Transfer Pioneers Biomechanics: Molecular-Scale Force Meters for Visualizing Intracellular Stress Fields.](https://www.ncbi.nlm.nih.gov/pubmed/31034713)
the place cell activity is information-efficient constrained by energy.,CELLULAR/SUBCELLULAR,"Wang Y, Xu X, Wang R,",*Neural networks : the official journal of the International Neural Network Society*,* [The place cell activity is information-efficient constrained by energy.](https://www.ncbi.nlm.nih.gov/pubmed/31029052)
branch-restricted localization of phosphatase prl-1 specifies axonal synaptogenesis domains.,CELLULAR/SUBCELLULAR,"Urwyler O, Izadifar A, Vandenbogaerde S, Sachse S, Misbaer A, Schmucker D,","*Science (New York, N.Y.)*",* [Branch-restricted localization of phosphatase Prl-1 specifies axonal synaptogenesis domains.](https://www.ncbi.nlm.nih.gov/pubmed/31048465)
"unusual topographic specializations of retinal ganglion cell density and spatial resolution in a cliff-dwelling artiodactyl, the nubian ibex (capra nubiana).",CELLULAR/SUBCELLULAR,"Coimbra JP, Alagaili AN, Bennett NC, Mohammed OB, Manger PR,",*The Journal of comparative neurology*,"* [Unusual topographic specializations of retinal ganglion cell density and spatial resolution in a cliff-dwelling artiodactyl, the Nubian ibex (Capra nubiana).](https://www.ncbi.nlm.nih.gov/pubmed/31045240)"
regulation of plasmodium sporozoite motility by formulation components.,CELLULAR/SUBCELLULAR,"de Korne CM, Lageschaar LT, van Oosterom MN, Baalbergen E, Winkel BMF, Chevalley-Maurel SC, Velders AH, Franke-Fayard BMD, van Leeuwen FWB, Roestenberg M,",*Malaria journal*,* [Regulation of Plasmodium sporozoite motility by formulation components.](https://www.ncbi.nlm.nih.gov/pubmed/31046772)
"exposure to roundup® affects behaviour, head regeneration and reproduction of the freshwater planarian girardia tigrina.",COMPARATIVE,"Córdova López AM, Sarmento RA, de Souza Saraiva A, Pereira RR, Soares AMVM, Pestana JLT,",*The Science of the total environment*,"* [Exposure to Roundup® affects behaviour, head regeneration and reproduction of the freshwater planarian Girardia tigrina.](https://www.ncbi.nlm.nih.gov/pubmed/31030151)"
aging circadian rhythms and cannabinoids.,COMPARATIVE,"Hodges EL, Ashpole NM,",*Neurobiology of aging*,* [Aging circadian rhythms and cannabinoids.](https://www.ncbi.nlm.nih.gov/pubmed/31035036)
a kinematic model of stick-insect walking.,COMPARATIVE,"Tóth TI, Daun S,",*Physiological reports*,* [A kinematic model of stick-insect walking.](https://www.ncbi.nlm.nih.gov/pubmed/31033245)
genetically distinct behavioral modules underlie natural variation in thermal performance curves.,COMPARATIVE,"Stegeman GW, Baird SE, Ryu WS, Cutter AD,","*G3 (Bethesda, Md.)*",* [Genetically Distinct Behavioral Modules Underlie Natural Variation in Thermal Performance Curves.](https://www.ncbi.nlm.nih.gov/pubmed/31048400)
growth and biomechanics of shoot organs.,COMPARATIVE,"Echevin E, Le Gloanec C, Skowrońska N, Routier-Kierzkowska AL, Burian A, Kierzkowski D,",*Journal of experimental botany*,* [Growth and biomechanics of shoot organs.](https://www.ncbi.nlm.nih.gov/pubmed/31037307)
muscle-specific indices to characterise the functional behaviour of human lower-limb muscles during locomotion.,COMPARATIVE,"Lai AKM, Biewener AA, Wakeling JM,",*Journal of biomechanics*,* [Muscle-specific indices to characterise the functional behaviour of human lower-limb muscles during locomotion.](https://www.ncbi.nlm.nih.gov/pubmed/31036379)
the effects of fluorene-9-bisphenol on female zebrafish (danio rerio) reproductive and exploratory behaviors.,COMPARATIVE,"Mi P, Zhang QP, Zhang SH, Wang C, Zhang SZ, Fang YC, Gao JZ, Feng DF, Chen DY, Feng XZ,",*Chemosphere*,* [The effects of fluorene-9-bisphenol on female zebrafish (Danio rerio) reproductive and exploratory behaviors.](https://www.ncbi.nlm.nih.gov/pubmed/31048237)
from traveler to homebody: which signaling mechanisms sponge larvae use to become adult sponges?,COMPARATIVE,"Borisenko I, Podgornaya OI, Ereskovsky AV,",*Advances in protein chemistry and structural biology*,* [From traveler to homebody: Which signaling mechanisms sponge larvae use to become adult sponges?](https://www.ncbi.nlm.nih.gov/pubmed/31036299)
adhesive elastocapillary force on a cantilever beam.,DENTAL/ORAL/FACIAL,"Gilet T, Gernay SM, Aquilante L, Mastrangeli M, Lambert P,",*Soft matter*,* [Adhesive elastocapillary force on a cantilever beam.](https://www.ncbi.nlm.nih.gov/pubmed/31032506)
biomechanical performance of cranial implants with different thicknesses and material properties: a finite element study.,DENTAL/ORAL/FACIAL,"Marcián P, Narra N, Borák L, Chamrad J, Wolff J,",*Computers in biology and medicine*,* [Biomechanical performance of cranial implants with different thicknesses and material properties: A finite element study.](https://www.ncbi.nlm.nih.gov/pubmed/31035070)
influence of ceramic materials on biomechanical behavior of implant supported fixed prosthesis with hybrid abutment.,DENTAL/ORAL/FACIAL,"Tribst JPM, Dal Piva AM, Özcan M, Borges ALS, Bottino MA,",*The European journal of prosthodontics and restorative dentistry*,* [Influence of Ceramic Materials on Biomechanical Behavior of Implant Supported Fixed Prosthesis with Hybrid Abutment.](https://www.ncbi.nlm.nih.gov/pubmed/31046208)
