title,topic,pred_val,authors,journal,links,full_title,abstract
antlers evolution development structure composition biomechanics outstanding type bone,BONE,22.2% BONE; 22.0% EVOLUTION/ANTHROPOLOGY; 15.5% TISSUE/BIOMATERIAL,"Landete-Castillejos T, Kierdorf H, Gomez S, Luna S, García AJ, Cappelli J, Pérez-Serrano M, Pérez-Barbería J, Gallego L, Kierdorf U,",*Bone*,"* [Antlers - Evolution, development, structure, composition, and biomechanics of an outstanding type of bone.](https://www.ncbi.nlm.nih.gov/pubmed/31446115)","Antlers - Evolution, development, structure, composition, and biomechanics of an outstanding type of bone.","Antlers are bony appendages of deer that undergo periodic regeneration from the top of permanent outgrowths (the pedicles) of the frontal bones. Of the ""less familiar"" bone types whose study was advocated by John Currey to gain a better understanding of structure-function relationships of mineralized tissues and organs, antlers were of special interest to him. The present review summarizes our current knowledge about the evolution, development, structure, mineralization, and biomechanics of antlers and how their formation is affected by environmental factors like nutrition. Furthermore, the potential role of antlers as a model in bone biology and several fields of biomedicine as well as their use as a monitoring tool in environmental studies are discussed."
resveratrol reverses negative effect alcohol hydroxyapatite coated implant osseointegration senile female rats,BONE,98.5% BONE; 0.5% TISSUE/BIOMATERIAL; 0.4% DENTAL/ORAL/FACIAL,"Tao ZS, Zhou WS, Yang M, Xu H,",*Zeitschrift fur Gerontologie und Geriatrie*,* [Resveratrol reverses the negative effect of alcohol on hydroxyapatite-coated implant osseointegration in senile female rats.](https://www.ncbi.nlm.nih.gov/pubmed/31435788),Resveratrol reverses the negative effect of alcohol on hydroxyapatite-coated implant osseointegration in senile female rats.,"Previous studies have demonstrated the damaging effect of alcohol (ALH) consumption on bone tissue and bone metabolism. Resveratrol (RES) promotes osteoblast proliferation and inhibits osteoclast proliferation and positively affects bone regeneration; however, reports about effects of RES on osseointegration in aged female rats with ALH consumption are limited. This study was designed to investigate the impact of treatment with RES on osseointegration for aged female rats with ALH consumption. This study included 30 female Sprague-Dawley rats (22 months old), weighing approximately 520 g. All animals were randomly divided into 3 groups of 10: a control group (CON) receiving saline, a group receiving ALH and a group receiving ALH + RES until death after 12 weeks. The results of enhanced osseointegration in senile female rats with RES consumption were evaluated by histology, microcomputerized tomography (micro-CT), gene expression analysis and a biomechanical test. The results of this study indicated that ALH + RES showed stronger effects on the improvement of osseointegration in senile female rats with ALH consumption. The ALH + RES produced stronger effects on bone volume per total volume (BV/TV), mean trabecular thickness (Tb.Th), mean trabecular number (Tb.N) and mean trabecular separation (Tb.Sp), connective tissue density (Conn.D) and maximum push-out force for implants, and regulation of osteogenesis and bone resorption-related gene expression. These results seem to indicate that RES intervention reverses the negative effect of alcohol on hydroxyapatite-coated implant osseointegration in senile female rats with ALH consumption."
sensorimotor coding vermal granule neurons developing mammalian cerebellum,CARDIOVASCULAR/CARDIOPULMONARY,44.0% CARDIOVASCULAR/CARDIOPULMONARY; 18.4% TISSUE/BIOMATERIAL; 6.2% MODELING,"Markwalter KH, Yang Y, Holy TE, Bonni A,",*The Journal of neuroscience : the official journal of the Society for Neuroscience*,* [Sensorimotor Coding of Vermal Granule Neurons in the Developing Mammalian Cerebellum.](https://www.ncbi.nlm.nih.gov/pubmed/31235645),Sensorimotor Coding of Vermal Granule Neurons in the Developing Mammalian Cerebellum.,"The vermal cerebellum is a hub of sensorimotor integration critical for postural control and locomotion, but the nature and developmental organization of afferent information to this region have remained poorly understood <i>in vivo</i> Here, we use <i>in vivo</i> two-photon calcium imaging of the vermal cerebellum in awake behaving male and female mice to record granule neuron responses to diverse sensorimotor cues targeting visual, auditory, somatosensory, and motor domains. Use of an activity-independent marker revealed that approximately half (54%) of vermal granule neurons were activated during these recordings. A multikernel linear model distinguished the relative influences of external stimuli and co-occurring movements on neural responses, indicating that, among the subset of activated granule neurons, locomotion (44%-56%) and facial air puffs (50%) were more commonly and reliably encoded than visual (31%-32%) and auditory (19%-28%) stimuli. Strikingly, we also uncover populations of granule neurons that respond differentially to voluntary and forced locomotion, whereas other granule neurons in the same region respond similarly to locomotion in both conditions. Finally, by combining two-photon calcium imaging with birth date labeling of granule neurons via <i>in vivo</i> electroporation, we find that early- and late-born granule neurons convey similarly diverse sensorimotor information to spatially distinct regions of the molecular layer. Collectively, our findings elucidate the nature and developmental organization of sensorimotor information in vermal granule neurons of the developing mammalian brain.<b>SIGNIFICANCE STATEMENT</b> Cerebellar granule neurons comprise over half the neurons in the brain, and their coding properties have been the subject of theoretical and experimental interest for over a half-century. In this study, we directly test long-held theories about encoding of sensorimotor stimuli in the cerebellum and compare the <i>in vivo</i> coding properties of early- and late-born granule neurons. Strikingly, we identify populations of granule neurons that differentially encode voluntary and forced locomotion and find that, although the birth order of granule neurons specifies the positioning of their parallel fiber axons, both early- and late-born granule neurons convey a functionally diverse sensorimotor code. These findings constitute important conceptual advances in understanding the principles underlying cerebellar circuit development and function."
4d modelling fluid mechanics zebrafish embryonic heart,CARDIOVASCULAR/CARDIOPULMONARY,91.8% CARDIOVASCULAR/CARDIOPULMONARY; 5.0% MODELING; 1.1% CELLULAR/SUBCELLULAR,"Foo YY, Pant S, Tay HS, Imangali N, Chen N, Winkler C, Yap CH,",*Biomechanics and modeling in mechanobiology*,* [4D modelling of fluid mechanics in the zebrafish embryonic heart.](https://www.ncbi.nlm.nih.gov/pubmed/31446522),4D modelling of fluid mechanics in the zebrafish embryonic heart.,"Abnormal blood flow mechanics can result in pathological heart malformation, underlining the importance of understanding embryonic cardiac fluid mechanics. In the current study, we performed image-based computational fluid dynamics simulation of the zebrafish embryonic heart ventricles and characterized flow mechanics, organ dynamics, and energy dynamics in detail. 4D scans of 5 days post-fertilization embryonic hearts with GFP-labelled myocardium were acquired using line-scan focal modulation microscopy. This revealed that the zebrafish hearts exhibited a wave-like contractile/relaxation motion from the inlet to the outlet during both systole and diastole, which we showed to be an energy efficient configuration. No impedance pumping effects of pressure and velocity waves were observed. Due to its tube-like configuration, inflow velocities were higher near the inlet and smaller at the outlet and vice versa for outflow velocities. This resulted in an interesting spatial wall shear stress (WSS) pattern where WSS waveforms near the inlet and those near the outlet were out of phase. There was large spatial variability in WSS magnitudes. Peak WSS was in the range of 47.5-130 dyne/cm<sup>2</sup> at the inflow and outflow tracts, but were much smaller, in the range of 4-11 dyne/cm<sup>2</sup>, in the mid-ventricular segment. Due to very low Reynolds number and the highly viscous environment, intraventricular pressure gradients were high, suggesting substantial energy losses of flow through the heart."
mapping spatial variation mitral valve elastic properties using air pulse optical coherence elastography,CARDIOVASCULAR/CARDIOPULMONARY,56.2% CARDIOVASCULAR/CARDIOPULMONARY; 24.4% TISSUE/BIOMATERIAL; 15.3% METHODS,"Vekilov DP, Singh M, Aglyamov SR, Larin KV, Grande-Allen KJ,",*Journal of biomechanics*,* [Mapping the spatial variation of mitral valve elastic properties using air-pulse optical coherence elastography.](https://www.ncbi.nlm.nih.gov/pubmed/31300156),Mapping the spatial variation of mitral valve elastic properties using air-pulse optical coherence elastography.,"The mitral valve is a highly heterogeneous tissue composed of two leaflets, anterior and posterior, whose unique composition and regional differences in material properties are essential to overall valve function. While mitral valve mechanics have been studied for many decades, traditional testing methods limit the spatial resolution of measurements and can be destructive. Optical coherence elastography (OCE) is an emerging method for measuring viscoelastic properties of tissues in a noninvasive, nondestructive manner. In this study, we employed air-pulse OCE to measure the spatial variation in mitral valve elastic properties with micro-scale resolution at 1 mm increments along the radial length of the leaflets. We analyzed differences between the leaflets, as well as between regions of the valve. We found that the anterior leaflet has a higher elastic wave velocity, which is reported as a surrogate for stiffness, than the posterior leaflet, most notably at the annular edge of the sample. In addition, we found a spatial elastic gradient in the anterior leaflet, where the annular edge was found to have a greater elastic wave velocity than the free edge. This gradient was less pronounced in the posterior leaflet. These patterns were confirmed using established uniaxial tensile testing methods. Overall, the anterior leaflet was stiffer and had greater heterogeneity in its mechanical properties than the posterior leaflet. This study measures differences between the two mitral leaflets with greater resolution than previously feasible and demonstrates a method that may be suitable for assessing valve mechanics following repair or during the engineering of synthetic valve replacements."
sialylation status mechanical properties thp 1 macrophages upon lps stimulation,CELLULAR/SUBCELLULAR,94.1% CELLULAR/SUBCELLULAR; 2.8% TISSUE/BIOMATERIAL; 1.0% NEURAL,"Zhao Y, Mahajan G, Kothapalli CR, Sun XL,",*Biochemical and biophysical research communications*,* [Sialylation status and mechanical properties of THP-1 macrophages upon LPS stimulation.](https://www.ncbi.nlm.nih.gov/pubmed/31445704),Sialylation status and mechanical properties of THP-1 macrophages upon LPS stimulation.,"Cell surface receptors are the key contributors of macrophage function. Most macrophage cell surface receptors are glycoproteins with sialic acids at the terminal of their glycans. It is well recognized that lipopolysaccharide (LPS) induces cell surface sialylation changes that may in turn contribute to macrophage functions. In addition, cellular mechanics such as elasticity is also a major determinant of macrophage function, which in turn is modulated by LPS. In this report, we characterized the sialylation status of macrophages upon LPS stimulation and assessed the changes in its mechanical properties and function. Specifically, we confirmed that sialylation status is closely related to macrophage biomechanical characteristics (elastic modulus, tether force, tether radius, adhesion force, and membrane tension) and thus directly involved in macrophage function. Further, we modulated macrophage sialylation status by feeding the cell with exogenous free sialic acid (Neu5Ac, Neu5Gc) and sialidase inhibitors, and examined the resulting effects on cellular mechanics and function. A systematic recognition of sialylation status related to cellular mechanics of macrophages will contribute to defining their phenotypes and elucidate macrophage functional diversity."
cholinesterase inhibitory arisugacins l q penicillium sp isolate obtained citizen science initiative activities phenotype based zebrafish assay,CELLULAR/SUBCELLULAR,29.8% CELLULAR/SUBCELLULAR; 28.7% METHODS; 9.9% NEURAL,"Dai W, Sandoval IT, Cai S, Smith KA, Delacruz RGC, Boyd KA, Mills JJ, Jones DA, Cichewicz RH,",*Journal of natural products*,* [Cholinesterase Inhibitory Arisugacins L-Q from a <i>Penicillium</i> sp. Isolate Obtained through a Citizen Science Initiative and Their Activities in a Phenotype-Based Zebrafish Assay.](https://www.ncbi.nlm.nih.gov/pubmed/31433188),Cholinesterase Inhibitory Arisugacins L-Q from a <i>Penicillium</i> sp. Isolate Obtained through a Citizen Science Initiative and Their Activities in a Phenotype-Based Zebrafish Assay.,"Phenotype-based screening of a fungal extract library yielded an active sample from a <i>Penicillium</i> sp. isolate that impaired zebrafish motility. Bioassay-guided purification led to the identification of 14 meroterpenoids including six new metabolites, arisugacins L-Q (<b>4</b>, <b>5</b>, <b>8</b>, and <b>12</b>-<b>14</b>), seven known arisugacins (<b>1</b>-<b>3</b>, <b>6</b>, <b>7</b>, <b>9</b>, and <b>10</b>), and one known terreulactone (<b>11</b>). Their structures were determined using a combination of NMR and HRESIMS data, evidence secured from theoretical and experimental ECD spectra, and the modified Mosher's method. The purified compounds were tested in zebrafish embryos, as well as in vitro for cholinesterase inhibition activities. Compound <b>12</b> produced defects in myotome structure (metameric muscle, which is critical for locomotion) in vivo and showed the most potent and selective acetylcholinesterase inhibitory activity with an IC<sub>50</sub> of 191 nM in vitro. The phenotype assay was also used to reveal bioactivities for several previously reported arisugacins, which had failed to show activity in prior cell-based and in vitro testing. This study demonstrates that utilization of the zebrafish phenotype assay is an effective approach for the identification of bioactive extracts, is compatible with the bioassay-guided compound purification strategies, and offers a valuable tool for probing complex natural product sources to detect bioactive small molecules with potential therapeutic or other commercial applications."
active patchy colloids shape tunable dynamics,CELLULAR/SUBCELLULAR,48.9% CELLULAR/SUBCELLULAR; 13.5% ROBOTICS; 9.3% METHODS,"Wang Z, Wang Z, Li J, Cheung STH, Tian C, Kim SH, Yi GR, Ducrot E, Wang Y,",*Journal of the American Chemical Society*,* [Active Patchy Colloids with Shape-Tunable Dynamics.](https://www.ncbi.nlm.nih.gov/pubmed/31448592),Active Patchy Colloids with Shape-Tunable Dynamics.,"Controlling the complex dynamics of active colloids-the autonomous locomotion of colloidal particles and their spontaneous assembly-is challenging yet crucial for creating functional, out-of-equilibrium colloidal systems potentially useful for nano- and micro-machines. Herein, by introducing the synthesis of active ""patchy"" colloids of various low-symmetry shapes, we demonstrate that the dynamics of such systems can be precisely tuned. The low-symmetry patchy colloids are made in bulk via a cluster-encapsulation-dewetting method. They carry essential information encoded in their shapes (particle geometry, number, size, and configurations of surface patches, etc.) that programs their locomotive and assembling behaviors. Under AC electric field, we show that the velocity of particle propulsion and the ability to brake and steer can be modulated by having two asymmetrical patches with various bending angles. The assembly of mono-patch particles leads to the formation of dynamic and reconfigurable structures such as spinners and ""cooperative swimmers"" depending on the particle's aspect ratios. Particle with two patches of different sizes allows ""directional bonding"", a concept popular in static assemblies but rare in dynamic ones. With the capability to make tunable and complex shapes, we anticipate the discovery of a diverse range of new dynamics and structures when other external stimuli (e.g., magnetic, optical, chemical, etc.) are employed and spark synergy with shapes."
kinetics nucleotide binding isolated chlamydomonas axonemes using uv tirf microscopy,CELLULAR/SUBCELLULAR,96.2% CELLULAR/SUBCELLULAR; 0.7% COMPARATIVE; 0.6% NEURAL,"Feofilova M, Mahamdeh M, Howard J,",*Biophysical journal*,* [The Kinetics of Nucleotide Binding to Isolated Chlamydomonas Axonemes Using UV-TIRF Microscopy.](https://www.ncbi.nlm.nih.gov/pubmed/31400919),The Kinetics of Nucleotide Binding to Isolated Chlamydomonas Axonemes Using UV-TIRF Microscopy.,"Cilia and flagella are long, slender organelles found in many eukaryotic cells, where they have sensory, developmental, and motile functions. All cilia and flagella contain a microtubule-based structure called the axoneme. In motile cilia and flagella, which drive cell locomotion and fluid transport, the axoneme contains, along most of its length, motor proteins from the axonemal dynein family. These motor proteins drive motility by using energy derived from the hydrolysis of ATP to generate a bending wave, which travels down the axoneme. As a first step toward visualizing the ATPase activity of the axonemal dyneins during bending, we have investigated the kinetics of nucleotide binding to axonemes. Using a specially built ultraviolet total internal reflection fluorescence microscope, we found that the fluorescent ATP analog methylanthraniloyl ATP (mantATP), which has been shown to support axonemal motility, binds all along isolated, immobilized axonemes. By studying the recovery of fluorescence after photobleaching, we found that there are three mantATP binding sites: one that bleaches rapidly (time constant ≈ 1.7 s) and recovers slowly (time constant ≈ 44 s), one that bleaches with the same time constant but does not recover, and one that does not bleach. By reducing the dynein content in the axoneme using mutants and salt extraction, we provide evidence that the slow-recovering component, but not the other components, corresponds to axonemal dyneins. The recovery rate of this component, however, is too slow to be consistent with the activation of beating observed at higher mantATP concentrations; this indicates that the dyneins may be inhibited due to their immobilization at the surface. The development of this method is a first step toward direct observation of the traveling wave of dynein activity."
self association type collagen directed thymoquinone alteration molecular forces,CELLULAR/SUBCELLULAR,77.6% CELLULAR/SUBCELLULAR; 18.0% TISSUE/BIOMATERIAL; 0.7% CARDIOVASCULAR/CARDIOPULMONARY,"Rasheeda K, Samyuktha D, Fathima NN,",*International journal of biological macromolecules*,* [Self-association of type I collagen directed by thymoquinone through alteration of molecular forces.](https://www.ncbi.nlm.nih.gov/pubmed/31446103),Self-association of type I collagen directed by thymoquinone through alteration of molecular forces.,"Type I collagen is a vital structural component of the extracellular matrix providing the connective tissues with biomechanical support. One of the interesting properties of collagen is to self-associate into fibrils. The present work aims to direct the self-assembly of collagen through different molecular forces, which are tuned on the addition of thymoquinone a well-known phytochemical. A change in relative viscosity and stress of collagen-thymoquinone blends influenced the interfibrillar aggregates around its hydration shell. Further, secondary structural integrity was studied via cotton curve effect, and vibrational frequency shifts showed a characteristic interaction of thymoquinone at the N-terminal residues of the triple helix. Finally, the spontaneous self-association of fibrils was tracked by calculating the rate of fibril growth kinetics, which potentially decreased with increase in thymoquinone concentration. The fibrils were eventually visualized under the high resolution-scanning microscope showing morphological variations. Therefore, such a protein-phytochemical interaction may tend to play with the hydration network of collagen and covalently interact with its imino acid residues. It may be speculated that such an inhibitory process portrayed by thymoquinone may have a fortune in the targeted and sustainable delivery to the site of action for certain diseases, which includes collagen accumulation. Moreover, its directed assembly could be utilized for designing templates as in manipulating the collagen as a nanoporous membrane to make nanofibers and further tuned by small molecules for nanoparticle synthesis application."
