,title,topic,pred_val,authors,journal,links,full_title,abstract,new_topic
0,anterior cruciate ligament reconstruction associated greater tibial tunnel widening using bioabsorbable screw compared inside technique suspensory fixation,BONE,40.3% BONE; 19.5% JOINT/CARTILAGE; 16.0% TISSUE/BIOMATERIAL,"Monaco E, Fabbri M, Redler A, Gaj E, De Carli A, Argento G, Saithna A, Ferretti A,","*Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA*",* [Anterior cruciate ligament reconstruction is associated with greater tibial tunnel widening when using a bioabsorbable screw compared to an all-inside technique with suspensory fixation.](https://www.ncbi.nlm.nih.gov/pubmed/30406408),Anterior cruciate ligament reconstruction is associated with greater tibial tunnel widening when using a bioabsorbable screw compared to an all-inside technique with suspensory fixation.,To compare clinical outcomes and tunnel widening following anterior cruciate ligament reconstruction (ACLR) performed with an all-inside technique (Group A) or with a bioabsorbable tibial screw and suspensory femoral fixation (Group B).,
1,histovariability human clavicular cortical bone microstructure mechanical implications,BONE,85.3% BONE; 4.8% EVOLUTION/ANTHROPOLOGY; 2.2% TISSUE/BIOMATERIAL,"Crane MA, Kato KM, Patel BA, Huttenlocker AK,",*Journal of anatomy*,* [Histovariability in human clavicular cortical bone microstructure and its mechanical implications.](https://www.ncbi.nlm.nih.gov/pubmed/31373387),Histovariability in human clavicular cortical bone microstructure and its mechanical implications.,"The human clavicle (i.e. collarbone) is an unusual long bone due to its signature S-shaped curve and variability in macrostructure observed between individuals. Because of the complex nature of how the upper limb moves, as well as due to its complex musculoskeletal arrangement, the biomechanics, in particular the mechanical loadings, of the clavicle are not fully understood. Given that bone remodeling can be influenced by bone stress, the histologic organization of Haversian bone offers a hypothesis of responses to force distributions experienced across a bone. Furthermore, circularly polarized light microscopy can be used to determine the orientation of collagen fibers, providing additional information on how bone matrix might organize to adapt to direction of external loads. We examined Haversian density and collagen fiber orientation, along with cross-sectional geometry, to test whether the clavicle midshaft shows unique adaptation to atypical load-bearing when compared with the sternal (medial) and acromial (lateral) shaft regions. Because fractures are most common at the midshaft, we predicted that the cortical bone structure would show both disparities in Haversian remodeling and nonrandomly oriented collagen fibers in the midshaft compared with the sternal and acromial regions. Human clavicles (n = 16) were sampled via thin-sections at the sternal, middle, and acromial ends of the shaft, and paired sample t-tests were employed to evaluate within-individual differences in microstructural or geometric properties. We found that Haversian remodeling is slightly but significantly reduced in the middle of the bone. Analysis of collagen fiber orientation indicated nonrandom fiber orientations that are overbuilt for tensile loads or torsion but are poorly optimized for compressive loads throughout the clavicle. Geometric properties of percent bone area, polar second moment of area, and shape (I<sub>max</sub> /I<sub>min</sub> ) confirmed the conclusions drawn by existing research on clavicle macrostructure. Our results highlight that mediolateral shape changes might be accompanied by slight changes in Haversian density, but bone matrix organization is predominantly adapted to resisting tensile strains or torsion throughout and may be a major factor in the risk of fracture when experiencing atypical compression.",
2,gross motor skill performance children without charge syndrome research practice,BONE,82.2% BONE; 7.8% VETERINARY/AGRICULTURAL; 1.7% COMPARATIVE,"Haibach-Beach P, Perreault M, Foster E, Lieberman L,",*Research in developmental disabilities*,* [Gross motor skill performance in children with and without CHARGE syndrome: Research to practice.](https://www.ncbi.nlm.nih.gov/pubmed/31238243),Gross motor skill performance in children with and without CHARGE syndrome: Research to practice.,"CHARGE syndrome is a multifaceted syndrome of complex birth defects. The heterogeneous nature of children with CHARGE syndrome brings unique issues and challenges affecting the overall motor development of the child, often resulting in developmental delays including motor delays.",
3,transversely isotropic isotropic material considerations determining mechanical response geometrically accurate bovine tibia bone,BONE,61.9% BONE; 12.0% MODELING; 5.3% DENTAL/ORAL/FACIAL,"Yassine RA, Hamade RF,",*Medical & biological engineering & computing*,* [Transversely isotropic and isotropic material considerations in determining the mechanical response of geometrically accurate bovine tibia bone.](https://www.ncbi.nlm.nih.gov/pubmed/31377963),Transversely isotropic and isotropic material considerations in determining the mechanical response of geometrically accurate bovine tibia bone.,"In finite element method (FEM) simulations of the mechanical response of bones, proper selection of stiffness versus density (E-ρ) formulae for bone constituents is necessary for obtaining accurate results. A considerable number of such formulae can be found in the biomechanics' literature covering both cortical and cancellous constituents. For determining the first and second modal frequencies (in both cranial-caudal and medial-lateral planes) of bovine tibia bone, this work assembled and numerically tested 22 isotropic and 21 orthotropic stiffness-density formulae combinations (cases). To accurately reproduce bone geometry, anatomical 3D models were generated from computed tomography (CT) scans. By matching the bone's digital mass to its actual mass, cortical and cancellous constituents were faithfully segmented by utilizing suitable values of three variables: (1) critical cutoff Hounsfield unit (HU) values, (2) cutoff density value, and (3) utilized number of sub-materials. Consequently, a balanced distribution of finite elements was generated with stiffness values congruent with their cancellous or cortical demarcations. Of the considered 22 isotropic formulae cases and 21 orthotropic (reduced to transversely isotropic) cases, only few yielded accurate frequency estimates. For verifying the accuracy of the solutions emanating from the various formulae, experimental vibration tests of corresponding mode frequencies and shapes (ProSig©) were conducted. When compared with the measured experimental frequency values, the most accurate isotropic formulae yielded numerical estimates of + 0.95% and + 10.65% for the first and second cranial-caudal (C-C) frequencies, respectively. The formulae yielding most accurate estimates also proved successful in estimating frequencies of a second tibia bone yielding numerical estimates within + 4.75% and + 1.88% of the said mode frequencies. For the transversely isotropic material assignment, the closest case scenario computed numerical estimates with a percentage difference of + 2.05% and + 9.36% for the first and second cranial-caudal (C-C) frequencies, respectively. Graphical abstract Mode shapes (left) 1 and (right) 2 for transversely isotropic case 15 T (Bone A): (a) cranial-caudal and (b) medial-lateral plane.",BONE
4,assessment acute bone loading humans using sup 18 sup f naf pet mri,BONE,28.0% BONE; 13.3% JOINT/CARTILAGE; 12.0% METHODS,"Haddock B, Fan AP, Uhlrich SD, Jørgensen NR, Suetta C, Gold GE, Kogan F,",*European journal of nuclear medicine and molecular imaging*,* [Assessment of acute bone loading in humans using [<sup>18</sup>F]NaF PET/MRI.](https://www.ncbi.nlm.nih.gov/pubmed/31385012),Assessment of acute bone loading in humans using [<sup>18</sup>F]NaF PET/MRI.,"The acute effect of loading on bone tissue and physiology can offer important information with regard to joint function in diseases such as osteoarthritis. Imaging studies using [<sup>18</sup>F]-sodium fluoride ([<sup>18</sup>F]NaF) have found changes in tracer kinetics in animals after subjecting bones to strain, indicating an acute physiological response. The aim of this study is to measure acute changes in NaF uptake in human bone due to exercise-induced loading.",BONE
5,percutaneous reinforced osteoplasty long bone metastases feasibility,BONE,69.5% BONE; 7.8% ORTHOPAEDICS/SPINE; 7.4% ORTHOPAEDICS/SURGERY,"Koirala N, McLennan G,",*Skeletal radiology*,* [Percutaneous reinforced osteoplasty for long bone metastases: a feasibility study.](https://www.ncbi.nlm.nih.gov/pubmed/31377837),Percutaneous reinforced osteoplasty for long bone metastases: a feasibility study.,"While percutaneous osteoplasty is common for the treatment of vertebral fractures, low strength of fixation remains a major challenge for use in metastatic weight-bearing bones. With stent, wire, and cement augmentation, this study explores the feasibility of percutaneous reinforced osteoplasty for use in correcting long bone fractures.",BONE
6,treadport natural gait treadmill,BONE,43.0% BONE; 28.5% DENTAL/ORAL/FACIAL; 24.3% TISSUE/BIOMATERIAL,"Chesebrough S, Hejrati B, Hollerbach J,",*Human factors*,* [The Treadport: Natural Gait on a Treadmill.](https://www.ncbi.nlm.nih.gov/pubmed/30653920),The Treadport: Natural Gait on a Treadmill.,To evaluate the differences between walking on an advanced robotic locomotion interface called the Treadport and walking overground with healthy subjects.,BONE
7,changes periprosthetic bone mineral density bone turnover markers osseointegrated implant surgery cohort 20 transfemoral amputees 30 month follow,BONE,96.5% BONE; 0.9% DENTAL/ORAL/FACIAL; 0.6% ORTHOPAEDICS/SURGERY,"Hansen RL, Langdahl BL, Jørgensen PH, Petersen KK, Søballe K, Stilling M,",*Prosthetics and orthotics international*,* [Changes in periprosthetic bone mineral density and bone turnover markers after osseointegrated implant surgery: A cohort study of 20 transfemoral amputees with 30-month follow-up.](https://www.ncbi.nlm.nih.gov/pubmed/31385557),Changes in periprosthetic bone mineral density and bone turnover markers after osseointegrated implant surgery: A cohort study of 20 transfemoral amputees with 30-month follow-up.,"The osseointegrated implant system is a treatment option for people with transfemoral amputation, but implant removal is not uncommon. The association between bone mineral density changes or bone turnover markers and the need for implant removal has not previously been investigated.",BONE
8,biomechanical behaviours bone implant interface review,BONE,31.4% BONE; 28.6% DENTAL/ORAL/FACIAL; 24.5% TISSUE/BIOMATERIAL,"Gao X, Fraulob M, Haïat G,","*Journal of the Royal Society, Interface*",* [Biomechanical behaviours of the bone-implant interface: a review.](https://www.ncbi.nlm.nih.gov/pubmed/31362615),Biomechanical behaviours of the bone-implant interface: a review.,"In recent decades, cementless implants have been widely used in clinical practice to replace missing organs, to replace damaged or missing bone tissue or to restore joint functionality. However, there remain risks of failure which may have dramatic consequences. The success of an implant depends on its stability, which is determined by the biomechanical properties of the bone-implant interface (BII). The aim of this review article is to provide more insight on the current state of the art concerning the evolution of the biomechanical properties of the BII as a function of the implant's environment. The main characteristics of the BII and the determinants of implant stability are first introduced. Then, the different mechanical methods that have been employed to derive the macroscopic properties of the BII will be described. The experimental multi-modality approaches used to determine the microscopic biomechanical properties of periprosthetic newly formed bone tissue are also reviewed. Eventually, the influence of the implant's properties, in terms of both surface properties and biomaterials, is investigated. A better understanding of the phenomena occurring at the BII will lead to (i) medical devices that help surgeons to determine an implant's stability and (ii) an improvement in the quality of implants.",BONE
9,intelligent prediction kinetic parameters cutting manoeuvres,BONE,61.8% BONE; 21.7% TISSUE/BIOMATERIAL; 2.7% METHODS,"Mundt M, David S, Koeppe A, Bamer F, Markert B, Potthast W,",*Medical & biological engineering & computing*,* [Intelligent prediction of kinetic parameters during cutting manoeuvres.](https://www.ncbi.nlm.nih.gov/pubmed/31203500),Intelligent prediction of kinetic parameters during cutting manoeuvres.,"Due to its capabilities in analysing injury risk, the ability to analyse an athlete's ground reaction force and joint moments is of high interest in sports biomechanics. However, using force plates for the kinetic measurements influences the athlete's performance. Therefore, this study aims to use a feed-forward neural network to predict hip, knee and ankle joint moments as well as the ground reaction force from kinematic data during the execution and depart contact of a maximum effort 90° cutting manoeuvre. A total number of 525 cutting manoeuvres performed by 55 athletes were used to train and test neural networks. Either marker trajectories or joint angles were used as input data. The correlation coefficient between the measured and predicted data indicated strong correlations. By using joint angles as the input parameters, slightly but not significantly higher accuracy was found in joint moments predictions. The prediction of the ground reaction force showed significantly higher accuracy when using marker trajectories. Hence, the proposed feed-forward neural network method can be used to predict motion kinetics during a fast change of direction. This may allow for the simplification of cutting manoeuvres experimental set-ups for and through the use of inertial sensors. Graphical abstract The left part of the graphical abstract displays the angle progression of the hip, knee and ankle joint as an example of the kinematic input data and is supported by a stick figure of the motion task, a 90° cutting manoeuvre. This data is used to train a feed-forward neural network, which is displayed in the middle. The neural network's output is displayed on the right. As an example of the kinetic data, the joint moments of hip, knee and ankle joint are displayed and supported by a stick figure.",BONE
