title,topic,pred_val,authors,journal,links,full_title,abstract
role vitamin replacement therapy serum fgf23 concentration children myelomeningocele compared healthy children preliminary,BONE,57.9% BONE; 9.4% TISSUE/BIOMATERIAL; 4.0% ORTHOPAEDICS/SPINE,"Bagińska J, Liszewska A, Korzeniecka-Kozerska A,",*Journal of pediatric endocrinology & metabolism : JPEM*,* [The role of vitamin D replacement therapy in serum FGF23 concentration in children with myelomeningocele compared with healthy children - a preliminary study.](https://www.ncbi.nlm.nih.gov/pubmed/31465293),The role of vitamin D replacement therapy in serum FGF23 concentration in children with myelomeningocele compared with healthy children - a preliminary study.,"Background Fibroblast growth factor 23 (FGF23) is a recently discovered bone-derived regulator of vitamin D metabolism and phosphate homeostasis. It inhibits phosphate reabsorption and calcitriol production by the kidney. Myelomeningocele (MMC) remains the most severe form of neural tube defects involving serious locomotor disability, osteoporosis and pathologic fractures. We aimed to investigate the influence of vitamin D replacement therapy on serum FGF23 concentration in children with MMC and compare the results with healthy participants. Methods This prospective analysis was conducted on 16 children with MMC and 20 healthy children. Serum FGF23 levels were measured; for the studied group, before and after vitamin D replacement therapy with cholecalciferol (vitamin D3). The children's medical charts were analyzed to determine age, sex, anthropometric measurements, calcium and phosphate, cholecalciferol and renal function parameters. Results There were significant differences in vitamin D and FGF23 serum concentrations between the studied groups. The median vitamin D levels in the MMC group increased during replacement therapy (7 vs. 18.5 ng/mL, p = 0.29) in comparison to the median of 25.5 ng/mL in the control group. In MMC children we found a significant decrease in median serum FGF23 after vitamin D replacement therapy (from 42.1 to 0 RU/mL, p < 0.001). FGF23 correlated positively with albumin, serum and urine phosphate levels and negatively with alkaline phosphatase. Conclusions 1. Serum concentration of FGF-23 is increased in MMC children in comparison to a healthy control group. 2. Vitamin D replacement therapy decreases FGF23 concentrations in MMC children, although further studies are still warranted to gain detailed insight on the FGF23 in the MMC population. 3. Children with MMC present vitamin D deficiency. Nutrition supplemented with low doses of cholecalciferol (vitamin D3) (intakes reaching recommended daily allowances) was insufficient to correct 25(OH)-D level in that population of patients."
calcium alleviates fluoride induced bone damage inhibiting endoplasmic reticulum stress mitochondrial dysfunction,BONE,39.7% BONE; 17.2% CELLULAR/SUBCELLULAR; 8.7% TENDON/LIGAMENT,"Wang J, Yang J, Cheng X, Xiao R, Zhao Y, Xu H, Zhu Y, Yan Z, Ommati MM, Manthari RK, Wang J,",*Journal of agricultural and food chemistry*,* [Calcium alleviates fluoride-induced bone damage by inhibiting endoplasmic reticulum stress and mitochondrial dysfunction.](https://www.ncbi.nlm.nih.gov/pubmed/31464433),Calcium alleviates fluoride-induced bone damage by inhibiting endoplasmic reticulum stress and mitochondrial dysfunction.,"Excessive fluoride mainly causes skeletal lesions. Recently, it has been reported that an appropriate level of calcium can alleviate fluorosis. However, the appropriate concentration and mechanism of calcium addition is unclear. Hence, we evaluated the histopathology and ultrastructure, DNA fragmentation, hormonal imbalances, biomechanical levels and the expression of apoptosis-related genes, after treating the rats with 150 mg/L NaF and different concentrations of CaCO3. Our results suggested that NaF induced the histopathological and ultrastructural injury, with a concomitant increase in the DNA fragmentation (P<0.05), and serum OC (17.4899±0.8907 pmoL/L) at 120 d. In addition, the qRT-PCR and western blotting results indicated that NaF exposure up-regulated the mRNA and protein expression of Bax, Calpain, Caspase 12, Caspase 9, Caspase 7, Caspase 3, CAD, PARP and AIF while down-regulated the Bcl-2 (P<0.01), decreased the bone ultimate load by 27.15 %, the ultimate stress by 10.07 %, and the ultimate deformity by 23.27 % at 120 d. However, 1 % CaCO3 supplementation decreased the serum OC (14.6559±0.6478 pmoL/L), bone F content (P<0.01), fracture and breakage of collagen fibers, and changed the expression of endoplasmic reticulum pathway related genes and proteins at 120 d. Further 1 % CaCO3 supplementation increased the bone ultimate load by 20.86 %, the ultimate stress by 4.89 %, and the ultimate deformity by 21.57 %. In summary, we conclude that 1 % CaCO3 supplementation alleviated fluoride-induced bone damage by inhibiting endoplasmic reticulum stress and mitochondrial dysfunction."
jump exercise food restriction bone parameters young female rats,BONE,97.7% BONE; 0.4% COMPARATIVE; 0.3% VETERINARY/AGRICULTURAL,"Aikawa Y, Wakasugi Y, Narukawa T, Yamashita T, Sasai N, Umemura Y, Omi N, Ohtsuki M,",*Calcified tissue international*,* [Jump Exercise and Food Restriction on Bone Parameters in Young Female Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31468066),Jump Exercise and Food Restriction on Bone Parameters in Young Female Rats.,"We examined the effect of jump exercise on bone parameters in young female rats under food restriction. Seven-week-old female rats were divided into four groups: a sedentary and ad libitum feeding group (n = 10), a jump exercise and ad libitum feeding group (n = 9), a sedentary and 30% food restriction group (n = 9), and a jump exercise and 30% food restriction group (n = 10). The jump groups jumped 20 times/day, 5 times/week. The experiment lasted for 13 weeks. There were no interactions of jump exercise and food restriction on bone. Jump exercise under food restriction conditions induced higher bone strength, bone mineral content, bone area, bone mineral density (BMD), and cortical bone volume in young female rats, similar to rats under ad libitum feeding conditions. Bone strength parameters were not significantly different between ad libitum intake and food restriction with jump exercise training; however, BMD, bone size, and bone mass in the food restriction groups did not reach the levels of those in the ad libitum conditions group with jump exercise training. Neither jump exercise nor food restriction had a significant effect on serum estradiol or IGF-1. Our study reveals jump exercise attenuates loss of biomechanical properties and some bone sites with food restriction in young female rats."
alterations phenotype gene expression adult human aneurysmal smooth muscle cells exogenous nitric oxide,CARDIOVASCULAR/CARDIOPULMONARY,56.4% CARDIOVASCULAR/CARDIOPULMONARY; 28.9% CELLULAR/SUBCELLULAR; 11.8% TISSUE/BIOMATERIAL,"Farrell K, Simmers P, Mahajan G, Boytard L, Camardo A, Joshi J, Ramamurthi A, Pinet F, Kothapalli CR,",*Experimental cell research*,* [Alterations in phenotype and gene expression of adult human aneurysmal smooth muscle cells by exogenous nitric oxide.](https://www.ncbi.nlm.nih.gov/pubmed/31473210),Alterations in phenotype and gene expression of adult human aneurysmal smooth muscle cells by exogenous nitric oxide.,"Abdominal aortic aneurysms (AAA) are characterized by matrix remodeling, elastin degradation, absence of nitric oxide (NO) signaling, and inflammation, influencing smooth muscle cell (SMC) phenotype and gene expression. Little is known about the biomolecular release and intrinsic biomechanics of human AAA-SMCs. NO delivery could be an attractive therapeutic strategy to restore lost functionality of AAA-SMCs by inhibiting inflammation and cell stiffening. We aim to establish the differences in phenotype and gene expression of adult human AAA-SMCs from healthy SMCs. Based on our previous study which showed benefits of optimal NO dosage delivered via S-Nitrosoglutathione (GSNO) to healthy aortic SMCs, we tested whether such benefits would occur in AAA-SMCs. The mRNA expression of three genes involved in matrix degradation (ACE, ADAMTS5 and ADAMTS8) was significantly downregulated in AAA-SMCs. Total protein and glycosaminoglycans synthesis were higher in AAA-SMCs than healthy-SMCs (p < 0.05 for AAA-vs. healthy- SMC cultures) and was enhanced by GSNO and 3D cultures (p < 0.05 for 3D vs. 2D cultures; p < 0.05 for GSNO vs. non-GSNO cases). Elastin gene expression, synthesis and deposition, desmosine crosslinker levels, and lysyl oxidase (LOX) functional activity were lower, while cell proliferation, iNOS, LOX and fibrillin-1 gene expressions were higher in AAA-SMCs (p < 0.05 between respective cases), with differential benefits from GSNO exposure. GSNO and 3D cultures reduced MMPs -2, -9, and increased TIMP-1 release in AAA-SMC cultures (p < 0.05 for GSNO vs. non-GSNO cultures). AAA-SMCs were inherently stiffer and had smoother surface than healthy SMCs (p < 0.01 in both cases), but GSNO reduced stiffness (∼25%; p < 0.01) and increased roughness (p < 0.05) of both cell types. In conclusion, exogenously-delivered NO offers an attractive strategy by providing therapeutic benefits to AAA-SMCs."
functional magnetic resonance imaging evaluation elastic properties ascending aortic aneurysm,CARDIOVASCULAR/CARDIOPULMONARY,95.7% CARDIOVASCULAR/CARDIOPULMONARY; 1.3% TISSUE/BIOMATERIAL; 0.8% METHODS,"Tiwari KK, Bevilacqua S, Aquaro GD, Festa P, Ait-Ali L, Gasbarri T, Solinas M, Glauber M,",*Brazilian journal of cardiovascular surgery*,* [Functional Magnetic Resonance Imaging in the Evaluation of the Elastic Properties of Ascending Aortic Aneurysm.](https://www.ncbi.nlm.nih.gov/pubmed/31454199),Functional Magnetic Resonance Imaging in the Evaluation of the Elastic Properties of Ascending Aortic Aneurysm.,To evaluate the aortic wall elasticity using the maximal rate of systolic distension (MRSD) and maximal rate of diastolic recoil (MRDR) and their correlation with the aortic size index (ASI).
impact balloon expandable transcatheter aortic valve replacement concomitant mitral regurgitation comprehensive computational analysis,CARDIOVASCULAR/CARDIOPULMONARY,99.6% CARDIOVASCULAR/CARDIOPULMONARY; 0.2% MODELING; 0.1% TISSUE/BIOMATERIAL,"Caballero A, Mao W, McKay R, Sun W,","*Journal of the Royal Society, Interface*",* [The impact of balloon-expandable transcatheter aortic valve replacement on concomitant mitral regurgitation: a comprehensive computational analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31409236),The impact of balloon-expandable transcatheter aortic valve replacement on concomitant mitral regurgitation: a comprehensive computational analysis.,"The aortic and mitral valves function in a reciprocal interdependent fashion. However, the impact of transcatheter aortic valve replacement (TAVR) on the aortic-mitral continuity and severity of mitral regurgitation (MR) are poorly understood. In this study, a comprehensive engineering analysis was performed to investigate the impact of TAVR on MR severity and left heart dynamics in a retrospective patient case who harbours bicuspid aortic valve stenosis and concomitant functional MR. The TAVR procedure was computer simulated using a balloon-expandable valve, and the impact of three implantation heights on aortic-mitral coupling, MR severity and device performance were analysed. The accuracy and predictability of the computer modelling framework were validated with pre- and post-operative echo data. The highest deployment model resulted in higher stresses in the native leaflets, contact radial force and stent recoil, while the midway implantation model gave better haemodynamic performance and MR reduction in this patient case. Although the regurgitant volume decreased (less than 10%) for the three deployment configurations, no significant differences in MR severity improvement and mitral leaflet tethering were found. Acute improvement in MR was (i) due to the mechanical compression of the stent against the aortic-mitral curtain, (ii) due to an immediate drop in the ventricular pressure and transmitral pressure gradient. Albeit a single real clinical case, it is our hope that such detailed engineering computational analysis could shed light on the underlying biomechanical mechanisms of TAVR impact on MR."
comparative proteomic analysis aurelia coerulea locomotion system molecular structure function inference,CELLULAR/SUBCELLULAR,34.5% CELLULAR/SUBCELLULAR; 18.6% COMPARATIVE; 6.7% CARDIOVASCULAR/CARDIOPULMONARY,"Ge M, Liu W, Ma C, Yan Z, Liang H, Xu Z, Mariottini GL, Zhang J, Zhao X, Yang Y, Xiao L,",*Journal of proteomics*,* [Comparative proteomic analysis of Aurelia coerulea for its locomotion system molecular structure-function inference.](https://www.ncbi.nlm.nih.gov/pubmed/31479797),Comparative proteomic analysis of Aurelia coerulea for its locomotion system molecular structure-function inference.,"Rhythmic contraction and autonomous movement play a key role in the predation, production and displacement of jellyfish."
biomechanical basis claw finger deformity computational simulation study,CELLULAR/SUBCELLULAR,48.9% CELLULAR/SUBCELLULAR; 41.5% NEURAL; 1.5% CARDIOVASCULAR/CARDIOPULMONARY,"Binder-Markey BI, Dewald JPA, Murray WM,",*The Journal of hand surgery*,* [The Biomechanical Basis of the Claw Finger Deformity: A Computational Simulation Study.](https://www.ncbi.nlm.nih.gov/pubmed/31248678),The Biomechanical Basis of the Claw Finger Deformity: A Computational Simulation Study.,"Claw finger deformity occurs during attempted finger extension in patients whose intrinsic finger muscles are weakened or paralyzed by neural impairments. The deformity is generally not acutely present after intrinsic muscle palsy. The delayed onset, with severity progressing over time, suggests soft tissue changes that affect the passive biomechanics of the hand exacerbate and advance the deformity. Clinical interventions may be more effective if such secondary biomechanical changes are effectively addressed. Using a computational model, we simulated these altered soft tissue biomechanical properties to quantify their effects on coordinated finger extension."
correction factor risk biomechanical approach predicts hip fracture men women framingham study,CELLULAR/SUBCELLULAR,25.4% CELLULAR/SUBCELLULAR; 24.1% COMPARATIVE; 15.4% NEURAL,"Dufour AB, Roberts B, Broe KE, Kiel DP, Bouxsein ML, Hannan MT,",*Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA*,* [Correction to: The factor-of-risk biomechanical approach predicts hip fracture in men and women: the Framingham Study.](https://www.ncbi.nlm.nih.gov/pubmed/31263920),Correction to: The factor-of-risk biomechanical approach predicts hip fracture in men and women: the Framingham Study.,"The original version of this article, published 23 February 2011, unfortunately contained a mistake. The following correction has therefore been made in the original."
rfid supported video tracking automated analysis social behaviour groups mice,CELLULAR/SUBCELLULAR,52.6% CELLULAR/SUBCELLULAR; 7.7% TISSUE/BIOMATERIAL; 6.0% BONE,"Peleh T, Bai X, Kas MJH, Hengerer B,",*Journal of neuroscience methods*,* [RFID-supported video tracking for automated analysis of social behaviour in groups of mice.](https://www.ncbi.nlm.nih.gov/pubmed/31255597),RFID-supported video tracking for automated analysis of social behaviour in groups of mice.,"Deficits in social behaviour, e.g. social withdrawal, appear as an early sign of many neuropsychiatric disorders. Investigation of the biological basis of social withdrawal and development of new targets for treatment requires reliable quantification methods of social behaviour."
