title,keywords,everything,topic,authors,journal,links,full_title
abaloparatide improves cortical geometry and trabecular microarchitecture and increases vertebral and femoral neck strength in a rat model of male osteoporosis.,anabolic androgen deficiency bone formation bone strength hypogonadism pth receptor agonist,abaloparatide improves cortical geometry and trabecular microarchitecture and increases vertebral and femoral neck strength in a rat model of male osteoporosis.,BONE,"Besschetnova T, Brooks DJ, Hu D, Nagano K, Nustad J, Ominsky M, Mitlak B, Hattersley G, Bouxsein ML, Baron R, Lanske B,",*Bone*,* [Abaloparatide improves cortical geometry and trabecular microarchitecture and increases vertebral and femoral neck strength in a rat model of male osteoporosis.](https://www.ncbi.nlm.nih.gov/pubmed/31051317),Abaloparatide improves cortical geometry and trabecular microarchitecture and increases vertebral and femoral neck strength in a rat model of male osteoporosis.
sclerostin antibody reduces long bone fractures in the oim/oim model of osteogenesis imperfecta.,biomechanical strength bone quality fracture oim/oim osteogenesis imperfecta sclerostin antibody,sclerostin antibody reduces long bone fractures in the oim/oim model of osteogenesis imperfecta.,BONE,"Cardinal M, Tys J, Roels T, Lafont S, Ominsky MS, Devogelaer JP, Chappard D, Mabilleau G, Ammann P, Nyssen-Behets C, Manicourt DH,",*Bone*,* [Sclerostin antibody reduces long bone fractures in the oim/oim model of osteogenesis imperfecta.](https://www.ncbi.nlm.nih.gov/pubmed/31051315),Sclerostin antibody reduces long bone fractures in the oim/oim model of osteogenesis imperfecta.
effect of side struts on the strength of long arm plaster splints: a biomechanical study.,,effect of side struts on the strength of long arm plaster splints: a biomechanical study.,BONE,"Thompson SF, McBride C, Conant SH, Moore MC, Lewis TR,",*Journal of pediatric orthopedics*,* [Effect of Side Struts on the Strength of Long Arm Plaster Splints: A Biomechanical Study.](https://www.ncbi.nlm.nih.gov/pubmed/31045629),Effect of Side Struts on the Strength of Long Arm Plaster Splints: A Biomechanical Study.
femoral stress is prominently associated with fracture risk in children: the generation r study.,bone mineral density femoral stress fracture risk hsa paediatric cohort,femoral stress is prominently associated with fracture risk in children: the generation r study.,BONE,"Grgic O, Rivadeneira F, Shevroja E, Trajanoska K, Jaddoe VWV, Uitterlinden AG, Beck TJ, Wolvius EB, Medina-Gomez C,",*Bone*,* [Femoral stress is prominently associated with fracture risk in children: The Generation R Study.](https://www.ncbi.nlm.nih.gov/pubmed/30798002),Femoral stress is prominently associated with fracture risk in children: The Generation R Study.
abaloparatide increases bone mineral density and bone strength in ovariectomized rabbits with glucocorticoid-induced osteopenia.,bone biomechanics cortical bone corticosteroid osteoporosis trabecular architecture,abaloparatide increases bone mineral density and bone strength in ovariectomized rabbits with glucocorticoid-induced osteopenia.,BONE,"Chandler H, Brooks DJ, Hattersley G, Bouxsein ML, Lanske B,",*Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA*,* [Abaloparatide increases bone mineral density and bone strength in ovariectomized rabbits with glucocorticoid-induced osteopenia.](https://www.ncbi.nlm.nih.gov/pubmed/31053927),Abaloparatide increases bone mineral density and bone strength in ovariectomized rabbits with glucocorticoid-induced osteopenia.
findings of ct-derived bone strength assessment in inflammatory bowel disease patients undergoing ct enterography in clinical practice.,ct enterography inflammatory bowel disease osteoporosis,findings of ct-derived bone strength assessment in inflammatory bowel disease patients undergoing ct enterography in clinical practice.,BONE,"Maldonado FJ, Al Bawardy BF, Nehra AK, Lee YS, Bruining DH, Adkins MC, Keaveny TM, Johnson MP, Fidler JL, McCollough CH, Fletcher JG,",*Inflammatory bowel diseases*,* [Findings of CT-Derived Bone Strength Assessment in Inflammatory Bowel Disease Patients Undergoing CT Enterography in Clinical Practice.](https://www.ncbi.nlm.nih.gov/pubmed/30476314),Findings of CT-Derived Bone Strength Assessment in Inflammatory Bowel Disease Patients Undergoing CT Enterography in Clinical Practice.
escherichia coli-derived bmp-2-absorbed β-tcp granules induce bone regeneration in rabbit critical-sized femoral segmental defects.,bone defect bone morphogenetic protein-2 bone regeneration β-tricalcium phosphate,escherichia coli-derived bmp-2-absorbed β-tcp granules induce bone regeneration in rabbit critical-sized femoral segmental defects.,BONE,"Kuroiwa Y, Niikura T, Lee SY, Oe K, Iwakura T, Fukui T, Matsumoto T, Matsushita T, Nishida K, Kuroda R,",*International orthopaedics*,* [Escherichia coli-derived BMP-2-absorbed β-TCP granules induce bone regeneration in rabbit critical-sized femoral segmental defects.](https://www.ncbi.nlm.nih.gov/pubmed/30097727),Escherichia coli-derived BMP-2-absorbed β-TCP granules induce bone regeneration in rabbit critical-sized femoral segmental defects.
"selection for longer limbs in mice increases bone stiffness and brittleness, but does not alter bending strength.",artificial selection bone cross-sectional geometry bone stiffness bone strength longshanks mouse,"selection for longer limbs in mice increases bone stiffness and brittleness, but does not alter bending strength.",BONE,"Cosman MN, Britz HM, Rolian C,",*The Journal of experimental biology*,"* [Selection for longer limbs in mice increases bone stiffness and brittleness, but does not alter bending strength.](https://www.ncbi.nlm.nih.gov/pubmed/31043455)","Selection for longer limbs in mice increases bone stiffness and brittleness, but does not alter bending strength."
colony-stimulating factor 1 receptor inhibition prevents against lipopolysaccharide -induced osteoporosis by inhibiting osteoclast formation.,bone loss csf 1r inhibitor lipopolysaccharide osteoclast,colony-stimulating factor 1 receptor inhibition prevents against lipopolysaccharide -induced osteoporosis by inhibiting osteoclast formation.,BONE,"Wang XF, Wang YJ, Li TY, Guo JX, Lv F, Li CL, Ge XT,",*Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie*,* [Colony-stimulating factor 1 receptor inhibition prevents against lipopolysaccharide -induced osteoporosis by inhibiting osteoclast formation.](https://www.ncbi.nlm.nih.gov/pubmed/31054506),Colony-stimulating factor 1 receptor inhibition prevents against lipopolysaccharide -induced osteoporosis by inhibiting osteoclast formation.
z-guggulsterone attenuates glucocorticoid-induced osteoporosis through activation of nrf2/ho-1 signaling.,glucocorticoid-induced osteoporosis nrf2/ho-1 signaling oxidative stress z-guggulsterone,z-guggulsterone attenuates glucocorticoid-induced osteoporosis through activation of nrf2/ho-1 signaling.,BONE,"Xu Y, Guan J, Xu J, Chen S, Sun G,",*Life sciences*,* [Z-Guggulsterone attenuates glucocorticoid-induced osteoporosis through activation of Nrf2/HO-1 signaling.](https://www.ncbi.nlm.nih.gov/pubmed/30905781),Z-Guggulsterone attenuates glucocorticoid-induced osteoporosis through activation of Nrf2/HO-1 signaling.
