number,topic,authors,title,journal,year,vol_issue,doi
0,BONE,"['Zhong, L', 'Hu, DR', 'Cu, Y', 'Peng, JR', 'Huang, KK', 'Lei, MY', 'Wu, TK', 'Xiao, Y', 'Gu, YC', 'Qian, ZY']",Preparation of adenosine-loaded electrospun nanofibers and their application in bone regeneration,Journal Of Biomedical Nanotechnology,2019,15:857-877,http://dx.doi.org/10.1166/jbn.2019.2761
1,BONE,"['Hoechel, S', 'Zwimpfer, TA', 'Toranelli, M', 'Muller-Gerbl, M']",The adaption of the bony microstructure of the human glenoid cavity as a result of long-term biomechanical loading,Surgical And Radiologic Anatomy,2019,41:401-408,http://dx.doi.org/10.1007/s00276-019-02190-2
2,BONE,"['Xu, HH', 'Liu, TT', 'Hu, LH', 'Li, J', 'Gan, CX', 'Xu, J', 'Chen, F', 'Xiang, ZM', 'Wang, XJ', 'Sheng, J']",Effect of caffeine on ovariectomy-induced osteoporosis in rats,Biomedicine & Pharmacotherapy,2019,112:00:00,http://dx.doi.org/10.1016/j.biopha.2019.108650
3,BONE,"['Zhang, GJ', 'Wang, SJ', 'Xu, SY', 'Guan, FJ', 'Bai, ZH', 'Mao, HJ']",The effect of formalin preservation time and temperature on the material properties of bovine femoral cortical bone tissue,Annals Of Biomedical Engineering,2019,47:937-952,http://dx.doi.org/10.1007/s10439-019-02197-1
4,BONE,"['Wang, J', 'Zhou, B', 'Hu, YJ', 'Zhang, ZD', 'Yu, YE', 'Nawathe, S', 'Nishiyama, KK', 'Keaveny, TM', 'Shane, E', 'Guo, XE']",Accurate and efficient plate and rod microfinite element models for whole bone segments based on high-resolution peripheral computed tomography,Journal Of Biomechanical Engineering-Transactions Of The Asme,2019,141:00:00,http://dx.doi.org/10.1115/1.4042680
5,BONE,"['Rothrauff, BB', 'Smith, CA', 'Ferrer, GA', 'Novaretti, JV', 'Pauyo, T', 'Chao, T', 'Hirsch, D', 'Beaudry, MF', 'Herbst, E', 'Tuan, RS', 'Debski, RE', 'Musahl, V']",The effect of adipose-derived stem cells on enthesis healing after repair of acute and chronic massive rotator cuff tears in rats,Journal Of Shoulder And Elbow Surgery,2019,28:654-664,http://dx.doi.org/10.1016/j.jse.2018.08.044
6,BONE,"['Rebgetz, PR', 'Daniele, L', 'Underhill, ID', 'Ochsner, A', 'Taylor, FJ']",A biomechanical study of headless compression screws versus a locking plate in radial head fracture fixation,Journal Of Shoulder And Elbow Surgery,2019,28:69-4949-4969-4949-54,http://dx.doi.org/10.1016/j.jse.2018.10.008
7,BONE,"['Jafarov, A', 'Elibol, FKE', 'Alizadeh, C', 'Gulsen, M', 'Togrul, E', 'Demir, T']",Perforated h-beam implant can be used in femoral neck fracture,Proceedings Of The Institution Of Mechanical Engineers Part H-Journal Of Engineering In Medicine,2019,233:354-361,http://dx.doi.org/10.1177/0954411919827041
8,BONE,"['Liang, LL', 'Su, ZB']",In vitro effect of caveolin-1 as a slow-release material on bone-tendon junction healing: a comparative study,Kaohsiung Journal Of Medical Sciences,2019,35:175-182,http://dx.doi.org/10.1002/kjm2.12022
9,BONE,"['Iwata, K', 'Mashiba, T', 'Mori, S', 'Yamamoto, T']",Accumulation of microdamage at complete and incomplete fracture sites in a patient with bilateral atypical femoral fractures on glucocorticoid and bisphosphonate therapy,Journal Of Bone And Mineral Metabolism,2019,37:206-211,http://dx.doi.org/10.1007/s00774-018-0940-1
10,BONE,"['Hoffmann, DB', 'Komrakova, M', 'Pflug, S', 'von Oertzen, M', 'Saul, D', 'Weiser, L', 'Walde, TA', 'Wassmann, M', 'Schilling, AF', 'Lehmann, W', 'Sehmisch, S']",Evaluation of ostarine as a selective androgen receptor modulator in a rat model of postmenopausal osteoporosis,Journal Of Bone And Mineral Metabolism,2019,37:243-255,http://dx.doi.org/10.1007/s00774-018-0929-9
11,BONE,"['Ota, M', 'Takahata, M', 'Shimizu, T', 'Momma, D', 'Hamano, H', 'Hiratsuka, S', 'Amizuka, N', 'Hasegawa, T', 'Iwasaki, N']",Optimal administration frequency and dose of teriparatide for acceleration of biomechanical healing of long-bone fracture in a mouse model,Journal Of Bone And Mineral Metabolism,2019,37:256-263,http://dx.doi.org/10.1007/s00774-018-0930-3
12,BONE,"['Chen, C', 'Zhang, T', 'Liu, F', 'Qu, J', 'Chen, Y', 'Fan, SL', 'Chen, HB', 'Sun, LQ', 'Zhao, CF', 'Hu, JZ', 'Lu, HB']",Effect of low-intensity pulsed ultrasound after autologous adipose-derived stromal cell transplantation for bone-tendon healing in a rabbit model,American Journal Of Sports Medicine,2019,47:942-953,http://dx.doi.org/10.1177/0363546518820324
13,BONE,"['Nishiguchi, A', 'Taguchi, T']","Osteoclast-responsive, injectable bone of bisphosphonated-nanocellulose that regulates osteoclast/osteoblast activity for bone regeneration",Biomacromolecules,2019,20:1385-1393,http://dx.doi.org/10.1021/acs.biomac.8b01767
14,BONE,"['Shen, CL', 'Smith, BJ', 'Li, JL', 'Cao, JJ', 'Song, X', 'Newhardt, MF', 'Corry, KA', 'Tomison, MD', 'Tang, LL', 'Wang, JS', 'Chyu, MC']","Effect of long-term green tea polyphenol supplementation on bone architecture, turnover, and mechanical properties in middle-aged ovariectomized rats",Calcified Tissue International,2019,104:285-300,http://dx.doi.org/10.1007/s00223-018-0489-y
15,BONE,"['Yin, GZ', 'Liu, HH', 'Li, JY', 'Liu, Y', 'Liu, X', 'Luo, E']",Adenoviral delivery of adiponectin ameliorates osteogenesis around implants in ovariectomized rats,Journal Of Gene Medicine,2019,21:00,http://dx.doi.org/10.1002/jgm.3069
16,BONE,"['Mehrvar, C', 'Kuzyk, P', 'Cohen, G', 'Safir, O', 'Zalzal, P', 'Alhalawani, A', 'Towler, MR', 'Papini, M']",Novel adhesives for sternal fixation and stabilization: a biomechanical analysis,Clinical Biomechanics,2019,62:66-71,http://dx.doi.org/10.1016/j.clinbiomech.2019.01.007
17,BONE,"['Yao, QQ', 'Zeng, YY', 'Feng, YZ', 'Wu, HJ', 'Liang, HX', 'Gong, P']",Chemical sympathectomy impairs peri-implant osseointegration in mice: role of the sympathetic nervous system in osseointegration,International Journal Of Oral & Maxillofacial Implants,2019,34:91-98,http://dx.doi.org/10.11607/jomi.7086
18,BONE,"['Brzobohata, H', 'Krajicek, V', 'Veleminsky, P', 'Veleminska, J']",Three-dimensional geometry of human tibial anterior curvature in chronologically distinct population samples of central europeans (2900 bc-21st century ad),Scientific Reports,2019,9:00,http://dx.doi.org/10.1038/s41598-019-40625-3
19,BONE,"['Tao, Y', 'Huang, SR', 'Yan, JZ', 'Li, WD', 'Cai, BC']",Integrated metallomic and metabolomic profiling of plasma and tissues provides deep insights into the protective effect of raw and salt-processed achyranthes bidentata blume extract in ovariectomia rats,Journal Of Ethnopharmacology,2019,234:85-95,http://dx.doi.org/10.1016/j.jep.2019.01.033
20,BONE,"['Jabran, A', 'Peach, C', 'Zou, ZM', 'Ren, L']",Biomechanical comparison of screw-based zones of a spatial subchondral support plate for proximal humerus fractures,Proceedings Of The Institution Of Mechanical Engineers Part H-Journal Of Engineering In Medicine,2019,233:372-382,http://dx.doi.org/10.1177/0954411919827984
21,BOTANY,"['Oliveri, H', 'Traas, J', 'Godin, C', 'Ali, O']",Regulation of plant cell wall stiffness by mechanical stress: a mesoscale physical model,Journal Of Mathematical Biology,2019,78:625-653,http://dx.doi.org/10.1007/s00285-018-1286-y
22,BOTANY,"['Hernandez, LF', 'Belles, PM', 'Bidegain, MA', 'Postemsky, PD']",Biomechanical proposal as a cause of incomplete seed and pericarp development of the sunflower (helianthus annuus l, fruits. Phyton-International Journal Of Experimental Botany,2018,87:198-208,
23,BOTANY,"['Wang, X', 'Hong, MM', 'Huang, Z', 'Zhao, YF', 'Ou, YS', 'Ji, HX', 'Li, J']",Biomechanical properties of plant root systems and their ability to stabilize slopes in geohazard-prone regions,Soil & Tillage Research,2019,189:148-157,http://dx.doi.org/10.1016/j.still.2019.02.003
24,CARDIOVASCULAR/CARDIOPULMONARY,"['Zemskov, EA', 'Lu, Q', 'Ornatowski, W', 'Klinger, CN', 'Desai, AA', 'Maltepe, E', 'Yuan, JXJ', 'Wang, T', 'Fineman, JR', 'Black, SM']",Biomechanical forces and oxidative stress: implications for pulmonary vascular disease,Antioxidants & Redox Signaling NaN;NaN:. http://dx.doi.org,10.1089/ars.2018.772,10,089/ars.2018.7720
25,CARDIOVASCULAR/CARDIOPULMONARY,"['Cui, XY', 'Ren, QS', 'Li, GY', 'Li, ZH', 'Qiao, AK']",Influence of the realistic artery geometry parameters on a coronary stent fatigue life,International Journal Of Computational Methods,2019,16:00,http://dx.doi.org/10.1142/S0219876218420069
26,CARDIOVASCULAR/CARDIOPULMONARY,"['Kipritidis, J', 'Tahir, BA', 'Cazoulat, G', 'Hofman, MS', 'Siva, S', 'Callahan, J', 'Hardcastle, N', 'Yamamoto, T', 'Christensen, GE', 'Reinhardt, JM', 'Kadoya, N', 'Patton, TJ', 'Gerard, SE', 'Duarte, I', 'Archibald-Heeren, B', 'Byrne, M', 'Sims, R', 'Ramsay, S', 'Booth, JT', 'Eslick, E', 'Hegi-Johnson, F', 'Woodruff, HC', 'Ireland, RH', 'Wild, JM', 'Cai, J', 'Bayouth, JE', 'Brock, K', 'Keall, PJ']",The vampire challenge: a multi-institutional validation study of ct ventilation imaging,Medical Physics,2019,46:1198-1217,http://dx.doi.org/10.1002/mp.13346
27,CARDIOVASCULAR/CARDIOPULMONARY,"['Gaffey, AC', 'Chen, MNH', 'Trubelja, A', 'Venkataraman, CM', 'Chen, CW', 'Chung, JJ', 'Schultz, S', 'Sehgal, CM', 'Burdick, JA', 'Atluri, P']",Delivery of progenitor cells with injectable shear-thinning hydrogel maintains geometry and normalizes strain to stabilize cardiac function after ischemia,Journal Of Thoracic And Cardiovascular Surgery,2019,157:1479-1490,http://dx.doi.org/10.1016/j.jtcvs.2018.07.117
28,CARDIOVASCULAR/CARDIOPULMONARY,"['Derycke, L', 'Perrin, D', 'Cochennec, F', 'Albertini, JN', 'Avril, S']",Predictive numerical simulations of double branch stent-graft deployment in an aortic arch aneurysm,Annals Of Biomedical Engineering,2019,47:1051-1062,http://dx.doi.org/10.1007/s10439-019-02215-2
29,CARDIOVASCULAR/CARDIOPULMONARY,"['Liu, ML', 'Liang, L', 'Liu, HF', 'Zhang, M', 'Martin, C', 'Sun, W']",On the computation of in vivo transmural mean stress of patient-specific aortic wall,Biomechanics And Modeling In Mechanobiology,2019,18:387-398,http://dx.doi.org/10.1007/s10237-018-1089-5
30,CARDIOVASCULAR/CARDIOPULMONARY,"['Pfaller, MR', 'Hormann, JM', 'Weigl, M', 'Nagler, A', 'Chabiniok, R', 'Bertoglio, C', 'Wall, WA']",The importance of the pericardium for cardiac biomechanics: from physiology to computational modeling,Biomechanics And Modeling In Mechanobiology,2019,18:503-529,http://dx.doi.org/10.1007/s10237-018-1098-4
31,CARDIOVASCULAR/CARDIOPULMONARY,"['Farzaneh, S', 'Trabelsi, O', 'Chavent, B', 'Avril, S']",Identifying local arterial stiffness to assess the risk of rupture of ascending thoracic aortic aneurysms,Annals Of Biomedical Engineering,2019,47:1038-1050,http://dx.doi.org/10.1007/s10439-019-02204-5
32,CELLULAR/SUBCELLULAR,"['Xing, J', 'Pan, XC', 'Zhang, H', 'Wang, JF', 'Ma, YF', 'Wang, YL', 'Luo, YF']",Shape recovery strain and nanostructures on recovered polyurethane films and their regulation to osteoblasts morphology,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,92:128-136,http://dx.doi.org/10.1016/j.jmbbm.2019.01.008
33,COMPARATIVE,"['Bredeweg, EM', 'Morzillo, AT', 'Thurman, LL', 'Garcia, TS']",The integrative effects of behavior and morphology on amphibian movement,Ecology And Evolution,2019,9:1278-1288,http://dx.doi.org/10.1002/ece3.4837
34,COMPARATIVE,"['Cavieres, G', 'Alruiz, JM', 'Medina, NR', 'Bogdanovich, JM', 'Bozinovic, F']",Transgenerational and within-generation plasticity shape thermal performance curves,Ecology And Evolution,2019,9:2072-2082,http://dx.doi.org/10.1002/ece3.4900
35,COMPARATIVE,"['Asnaghi, V', 'Collard, M', 'Mangialajo, L', 'Gattuso, JP', 'Dubois, P']","Bottom-up effects on biomechanical properties of the skeletal plates of the sea urchin paracentrotus lividus (lamarck, 1816) in an acidified ocean scenario",Marine Environmental Research,2019,144:56-61,http://dx.doi.org/10.1016/j.marenvres.2018.12.002
36,COMPARATIVE,"['Synek, A', 'Dunmore, CJ', 'Kivell, TL', 'Skinner, MM', 'Pahr, DH']",Inverse remodelling algorithm identifies habitual manual activities of primates based on metacarpal bone architecture,Biomechanics And Modeling In Mechanobiology,2019,18:399-410,http://dx.doi.org/10.1007/s10237-018-1091-y
37,COMPARATIVE,"['Scott, B', 'Wilga, CAD', 'Brainerd, EL']",Skeletal kinematics of the hyoid arch in the suction-feeding shark chiloscyllium plagiosum,Journal Of Experimental Biology,2019,222:00:00,http://dx.doi.org/10.1242/jeb.193573
38,COMPARATIVE,"['Ding, K', 'Zhang, LB', 'Zhang, T', 'Yang, HS', 'Brinkman, R']",The effect of melatonin on locomotor behavior and muscle physiology in the sea cucumber apostichopus japonicus,Frontiers In Physiology,2019,10:00,http://dx.doi.org/10.3389/fphys.2019.00221
