id,topic,authors,title,journal,year,vol_issue,doi
1,BONE,"['Zhang, J', 'He, F', 'Zhang, W', 'Zhang, M', 'Yang, HL', 'Luo, ZP']",Mechanical force enhanced bony formation in defect implanted with calcium sulphate cement,Bone Research,2015,3:00,http://dx.doi.org/10.1038/boneres.2014.48
2,BONE,"['Mehta M, Duda GN, Perka C and Strube P']",Influence of gender and fixation stability on bone defect healing in middle-aged rats: A pilot study,Clinical Orthopaedics and Related Research,2011,469(11):3102-10,http://dx.doi.org/10.1007/s11999-011-1914-y
3,BONE,"['Quental C, Folgado J, Fernandes PR and Monteiro J']",Bone remodelling analysis of the humerus after a shoulder arthroplasty,Medical Engineering & Physics;34(8):1132-8. http://dx.doi.org/10.1016/j.medengphy,2011.12.00,2011,2.001
4,BONE,"['Hettiaratchi, MH', 'Chou, C', 'Servies, N', 'Smeekens, JM', 'Cheng, A', 'Esancy, C', 'Wu, RH', 'McDevitt, TC', 'Guldberg, RE', 'Krishnan, L']",Competitive protein binding influences heparin-based modulation of spatial growth factor delivery for bone regeneration,Tissue Engineering Part A,2017,23:683-695,http://dx.doi.org/10.1089/ten.tea.2016.0507
5,BONE,"['Chen, YB', 'Xu, JK', 'Huang, ZL', 'Yu, ML', 'Zhang, YT', 'Chen, HJ', 'Ma, ZB', 'Liao, HJ', 'Hu, J']",An innovative approach for enhancing bone defect healing using plga scaffolds seeded with extracorporeal-shock-wave-treated bone marrow mesenchymal stem cells (bmscs),Scientific Reports,2017,7:00,http://dx.doi.org/10.1038/srep44130
6,BONE,"['Chanda, S', 'Gupta, S', 'Pratihar, DK']",Effects of interfacial conditions on shape optimization of cementless hip stem: an investigation based on a hybrid framework,Structural And Multidisciplinary Optimization,2016,53:1143-1155,http://dx.doi.org/10.1007/s00158-015-1382-1
7,BONE,"['Rahman, N', 'Khan, R', 'Badshah, S']",Effect of x-rays and gamma radiations on the bone mechanical properties: literature review,Cell And Tissue Banking,2018,19:457-472,http://dx.doi.org/10.1007/s10561-018-9736-8
8,BONE,"['Ortinau, LC', 'Linden, MA', 'Dirkes, RK', 'Rector, RS', 'Hinton, PS']",Exercise initiated after the onset of insulin resistance improves trabecular microarchitecture and cortical bone biomechanics of the tibia in hyperphagic otsuka long evans tokushima fatty rats,Bone,2017,103:188-199,http://dx.doi.org/10.1016/j.bone.2017.07.010
9,BONE,"['Huang, YF', 'Fan, YB', 'Salanova, M', 'Yang, X', 'Sun, LW', 'Blottner, D']",Effects of plantar vibration on bone and deep fascia in a rat hindlimb unloading model of disuse,Frontiers In Physiology,2018,9:00,http://dx.doi.org/10.3389/fphys.2018.00616
10,BONE,"['Ma, JX', 'He, WW', 'Zhao, J', 'Kuang, MJ', 'Bai, HH', 'Sun, L', 'Lu, B', 'Tian, AX', 'Wang, Y', 'Dong, BC', 'Wang, Y', 'Ma, XL']",Bone microarchitecture and biomechanics of the necrotic femoral head,Scientific Reports,2017,7:00,http://dx.doi.org/10.1038/s41598-017-13643-2
