,title,topic,date
0,Naringin protects against bone loss in steroid-treated inflammatory bowel disease in a rat model,Bone,6_28
1,Bu-shen-tong-luo decoction prevents bone loss via inhibition of bone resorption and enhancement of angiogenesis in ovariectomy-induced osteoporosis of rats,Bone,6_28
2,Substance p modulates bone remodeling properties of murine osteoblasts and osteoclasts,Bone,6_28
3,Advances in osteobiologic materials for bone substitutes.,Bone,6_28
4,Low-dose lithium regimen enhances endochondral fracture healing in osteoporotic rodent bone,Bone,6_28
5,Three-dimensional architecture and mechanical properties of bovine bone mixed with autologous platelet liquid blood or physiological water: an in vitro study,Bone,6_28
6,Structural and functional properties of bone are compromised in amyotrophic lateral sclerosis mice,Bone,6_28
7,Intensity-dependent effect of treadmill running on differentiation of rat bone marrow stromal cells.,Bone,6_28
8,The distal tibial classic metaphyseal lesion: medial versus lateral cortical injury,Bone,6_28
9,Cognitive processing for step precision increases beta and gamma band modulation during overground walking,Gait_Loco,6_28
10,Influence of body weight unloading on human gait characteristics: a systematic review. ,Gait_Loco,6_28
11,Energy cost and lower leg muscle activities during erect bipedal locomotion under hyperoxia.,Gait_Loco,6_28
12,Sparc: a new approach to quantifying gait smoothness in patients with parkinson's disease,Gait_Loco,6_28
13,Continuous-phase control of a powered knee-ankle prosthesis: amputee experiments across speeds and inclines.,Gait_Loco,6_28
14,Frontal plane hip joint loading according to pain severity in people with hip osteoarthritis.,Gait_Loco,6_28
15,Gait patterns symptoms  and function in patients with isolated tibiofemoral osteoarthritis and combined tibiofemoral and patellofemoral osteoarthritis.,Gait_Loco,6_28
16,Effects of lateral-offset sole shoes on knee adduction moment in women with medial compartment knee osteoarthritis,Gait_Loco,6_28
17,The influence of backpack weight and hip belt tension on movement and loading in the pelvis and lower limbs during walking.,Gait_Loco,6_28
18,Using a module-based analysis framework for investigating muscle coordination during walking in individuals poststroke: a literature review and synthesis. ,Gait_Loco,6_28
19,Reliability and concurrent validity of a chinese version of the alberta infant motor scale administered to high-risk infants in china. ,Gait_Loco,6_28
20,A machine learning approach to detect changes in gait parameters following a fatiguing occupational task.,Gait_Loco,6_28
21,Engineering of self-propelling microbots and microdevices powered by magnetic and electric fields. ,Robotics,6_28
22,Bipedal robotic walking control derived from analysis of human locomotion. ,Robotics,6_28
23,A novel serpentine gait generation method for snakelike robots based on geometry mechanics,Robotics,6_28
24,Multiobjective evolution of biped robot gaits using advanced continuous ant-colony optimized recurrent neural networks. ,Robotics,6_28
25,Efficient and stable locomotion for impulse-actuated robots using strictly convex foot shapes.,Robotics,6_28
26,Accurate and robust localization for walking robots fusing kinematics inertial vision and lidar,Robotics,6_28
27,Variable stiffness control of series elastic actuated biped locomotion.,Robotics,6_28
28,Development of a compliant legged quadruped robot. ,Robotics,6_28
29,Optimal design and energy harvesting performance of carangiform fish-like robotic system.,Robotics,6_28
30,Trajectory generation and step planning of a 12 dof biped robot on uneven surface. ,Robotics,6_28
31,Towards dynamic alternating tripod trotting of a pony-sized hexapod robot for disaster rescuing based on multi-modal impedance control,Robotics,6_28
32,An efficient acyclic contact planner for multiped robots,Robotics,6_28
33,Neuro-activity-based dynamic path planner for 3-d rough terrain.,Robotics,6_28
34,Post-game high protein intake may improve recovery of football-specific performance during a congested game fixture: results from the pro-football study. ,Sport_Exer,6_28
35,The effects of repeated sprints on the kinematics of 3-point shooting in basketball. ,Sport_Exer,6_28
36,The influence of cadence and shoes on patellofemoral joint kinetics in runners with patellofemoral pain.,Sport_Exer,6_28
37,Kinetic demands of sprinting shift across the acceleration phase: novel analysis of entire force waveforms. ,Sport_Exer,6_28
38,Temporary inhibition of the plasminogen activator inhibits periosteal chondrogenesis and promotes periosteal osteogenesis during appendicular bone fracture healing.,Bone,6_21
39,Inter-site variability of the osteocyte lacunar network in the cortical bone underpins fracture susceptibility of the superolateral femoral neck,Bone,6_21
40,Contributions of material properties and structure to increased bone fragility for a given bone mass in the ucd-t2dm rat model of type 2 diabetes.,Bone,6_21
41,Design of a cytocompatible hydrogel coating to modulate properties of ceramic-based scaffolds for bone repair.,Bone,6_21
42,The role of locking plate stiffness in bone fracture healing stabilized by far cortical locking technique,Bone,6_21
43,Journey into bone models: a review.,Bone,6_21
44,Surface modification of ti-35nb-10ta-1.5fe by the double acid-etching process. ,Bone,6_21
45,Effects of static magnetic fields on bone microstructure and mechanical properties in mice,Bone,6_21
46,Profiles of cognitive-motor interference during walking in children: does the motor or the cognitive task matter?. ,Gait_Loco,6_21
47,Spatiotemporal and kinematic changes in gait while carrying an energy harvesting assault pack system.,Gait_Loco,6_21
48,Phase matters: a role for the subthalamic network during gait.,Gait_Loco,6_21
49,Slip avoidance strategies in children with bilateral spastic cerebral palsy and crouch gait.,Gait_Loco,6_21
50,Smartphone app-based assessment of gait during normal and dual-task walking: demonstration of validity and reliability. ,Gait_Loco,6_21
51, Kinematics and kinetics of the shoe during human slips.,Gait_Loco,6_21
52,A bio-hybrid dna rotor-stator nanoengine that moves along predefined tracks.,Robotics,6_21
53,Magnetocapillary self-assemblies: locomotion and micromanipulation along a liquid interface.,Robotics,6_21
54,A novel hardware-efficient cpg model based on asynchronous cellular automaton. ,Robotics,6_21
55,Hebbian plasticity in cpg controllers facilitates self-synchronization for human-robot handshaking.,Robotics,6_21
56,3d printing of soft robotic systems.,Robotics,6_21
57,"Design, fabrication and control of origami robots",Robotics,6_21
58, Bioinspired microrobots. ,Robotics,6_21
59,Biomedical applications of soft robotics.,Robotics,6_21
60,Soft robotic manipulation and locomotion with a 3d printed electroactive hydrogel. ,Robotics,6_21
61,Influence of pipe geometric deviation on bristled in-pipe mobile robot locomotion. ,Robotics,6_21
62,An individual approach to monitoring locomotive training load in english premier league academy soccer players.,Sport_Exer,6_21
63,Effects of high-intensity warm-ups on running performance. ,Sport_Exer,6_21
64, Small-sided games in elite soccer: does one size fit all?. ,Sport_Exer,6_21
65,Electromyographic and joint kinematic patterns in runner's dystonia.,Sport_Exer,6_21
66,In-field validation of an inertial sensor-based system for movement analysis and classification in ski mountaineering. ,Sport_Exer,6_21
67,Application of conservation law of angular momentum in volleyball spiking technique. ,Sport_Exer,6_21
68,Locomotor and heart rate responses of floaters during small-sided games in elite soccer players: effect of pitch size and inclusion of goalkeepers.,Sport_Exer,6_21
69,Kicking performance in young u9 to u20 soccer players: assessment of velocity and accuracy simultaneously.,Sport_Exer,6_21
70,Predicting net joint moments during a weightlifting exercise with a neural network model.,Sport_Exer,6_21
71,Modeling and simulation of elbow and knee joint injury by basketball players' overtraining. ,Sport_Exer,6_21
72,An individual approach to monitoring locomotive training load in english premier league academy soccer players. ,Sport_Exer,6_21
73,Trends supporting the in-field use of wearable inertial sensors for sport performance evaluation: a systematic review. ,Sport_Exer,6_21
74,A wearable sensor-based exercise biofeedback system: mixed methods evaluation of formulift,Sport_Exer,6_21
75,Analysis of effects of sports fatigue damage on sports biomechanics of long jump.,Sport_Exer,6_21
76,The teaching of volleyball serving technique based on the sports biomechanics principle.,Sport_Exer,6_21
77,Sports biomechanics analysis of the backhand chop in table tennis. ,Sport_Exer,6_21
78,Who skips? using temperament to explain differential outcomes of a motor competence intervention for preschoolers. ,Sport_Exer,6_21
79,Irbesartan attenuates advanced glycation end products-mediated damage in diabetes-associated osteoporosis through the ages/rage pathway.,Bone,6_14
80,Fibrin glue mediated delivery of bone anabolic reagents to enhance healing of tendon to bone.,Bone,6_14
81,In vivo impact testing on a lengthened femur with external fixation: a future option for the non-invasive monitoring of fracture healing?,Bone,6_14
82,Underestimation of large distances in active and passive locomotion,Gait_Loco,6_14
83,dentification of movement strategies during the sit-to-walk movement in patients with knee osteoarthritis. ,Gait_Loco,6_14
84,Modulation of vertical ground reaction impulse with real-time biofeedback: a feasibility study,Gait_Loco,6_14
85,Gait pattern discrimination of als patients using classification methods. ,Gait_Loco,6_14
86,"Simulation and fabrication of stronger, larger, and faster walking biohybrid machines",Robotics,6_14
87,Sensing pipes of a nuclear power mechanism using low-cost snake robot. ,Robotics,6_14
88,Design principles of hair-like structures as biological machines.,Robotics,6_14
89,A unified multi-soft-body dynamic model for underwater soft robots.,Robotics,6_14
90,Micro-ufo (untethered floating object): a highly accurate microrobot manipulation technique,Robotics,6_14
91,Do bilateral vertical jumps with reactive jump landings achieve osteogenic thresholds with and without instruction in premenopausal women?. ,Sport_Exer,6_14
92,Effect of physical activity on the sequelae of osteoporosis in female residents of residential care facilities.,Sport_Exer,6_14
93,Proteomic response of the rat liver in differential swimming modes. ,Sport_Exer,6_14
94,Is stiffness related to athletic groin pain?. ,Sport_Exer,6_14
95,Comparing the biomechanical characteristics between squat and standing serves in female table tennis athletes.,Sport_Exer,6_14
96,Technical determinants of biathlon standing shooting performance before and after race simulation. ,Sport_Exer,6_14
97,Assessment of crack initiation and propagation in bone using acoustic emission (ae) techniques.,Bone,6_7
98,"Stem cells applications in bone and tooth repair and regeneration: new insights, tools, and hopes",Bone,6_7
99,Reconstruction of mandibular defects using porous titanium: an experimental study in goats,Bone,6_7
100,Lysophosphatidic acid analogue rather than lysophosphatidic acid promoted the bone formation in vivo.,Bone,6_7
101,Energy metabolism in the bone is associated with histomorphometric changes in rats with hyperthyroidism,Bone,6_7
102,Icariin restores bone structure and strength in a rat model of chronic high-dose alcohol-induced osteopenia.,Bone,6_7
103," Biomechanical, histological, and radiological effects of different phosphodiesterase inhibitors on femoral fracture healing in rats",Bone,6_7
104,Walking with virtual people: evaluation of locomotion interfaces in dynamic environments.,Gait_Loco,6_7
105,Effect of restraining the base of support on the other biomechanical features in patients with cerebellar ataxia,Gait_Loco,6_7
106,Slow gait speed after bilateral total knee arthroplasty is associated with suboptimal improvement of knee biomechanics.,Gait_Loco,6_7
107,Gait stability has phase-dependent dual-task costs in parkinson's disease.,Gait_Loco,6_7
108,Biomechanics and energetics of walking in powered ankle exoskeletons using myoelectric control versus mechanically intrinsic control,Gait_Loco,6_7
109,Foot structure and knee joint kinetics during walking with and without wedged footwear insoles.,Gait_Loco,6_7
