,title,topic_pred
0,Experimental cervical interspinous ligament pain altered cervical joint motion during dynamic extension movement.,ORTHOPAEDICS/SPINE
1,Studies on long term behavioural changes in group-housed rat models of brain and spinal cord injury using an automated home cage recording system.,NEURAL
2,In vivo three-dimensional kinematics of the cervical spine during maximal active head rotation.,ORTHOPAEDICS/SPINE
3,Oxytocin blocks enhanced motivation for alcohol in alcohol dependence and blocks alcohol effects on GABAergic transmission in the central amygdala.,NEURAL
4,Report on Three Porcine Proof-of-concept Studies: Comparison of a Dermatome With a Rotating Excision Ring With Conventional Dermatomes for the Harvesting of STSGs and Excision of Necrosis.,ORTHOPAEDICS/SURGERY
5,Bio-inspired photo-detachable dry self-cleaning surface.,ROBOTICS
6,[Preventive effect and mechanism of puerarin on rat models of disuse osteoporosis].,BONE
7,Sex and Laterality Differences in Medullary Humerus Morphology.,COMPARATIVE
8,Comparison of Less Invasive Stabilization System Plate and Retrograde Intramedullary Nail in the Fixation of Femoral Supracondylar Fractures in the Elderly: A Biomechanical Study.,ORTHOPAEDICS/SURGERY
9,Sensitivity analysis for the mechanics of tendons and ligaments: investigation on the effects of collagen structural properties via a multiscale modelling approach.,TENDON/LIGAMENT
10,Biomechanical properties of red blood cells infected by Plasmodium berghei ANKA.,CELLULAR/SUBCELLULAR
11,Biomechanical comparison of meniscus-suture constructs for pullout repair of medial meniscus posterior root tears.,ORTHOPAEDICS/SURGERY
12,The relationships between the quadratus plantae and the flexor digitorum longus and the flexor hallucis longus.,MUSCLE
13,Effect of coadministration of the GABA<sub>B</sub> agonist baclofen and the 5-HT<sub>2C</sub> agonist Ro60-0175 on the expression of amphetamine-induced locomotor sensitization.,NEURAL
14,Contribution of biomimetic collagen-ligand interaction to intrafibrillar mineralization.,ROBOTICS
15,Inter-Session Reliability of the Tennis Serve and Influence of the Laboratory Context.,SPORT/EXERCISE
16,Individual play patterns stimulated by a familiar object are group-driven.,COMPARATIVE
17,The evolutionary history of the human face.,EVOLUTION/ANTHROPOLOGY
18,Sexually dimorphic regulation of behavioral states by dopamine in <i>Caenorhabditis elegans</i>.,NEURAL
19,Inhibition of the deubiquitinase USP8 corrects a Drosophila PINK1 model of mitochondria dysfunction.,NEURAL
20,A Biomechanical Comparison of Alternative Graft Preparations for All-Inside Anterior Cruciate Ligament Reconstruction.,ORTHOPAEDICS/SURGERY
21,A biomechanical study of gait initiation in Down syndrome.,GAIT/LOCOMOTION
22,Motion of the distal tibiofibular syndesmosis under different loading patterns: A biomechanical study.,JOINT/CARTILAGE
23,Exploring the Role of Wearable Technology in Sport Kinematics and Kinetics: A Systematic Review.,SPORT/EXERCISE
24,Finite Element Analysis and Biomechanical Testing of the New MiniMIS Short Stem.,ORTHOPAEDICS/SURGERY
25,The effect of limb dominance on change of direction biomechanics: A systematic review of its importance for injury risk.,SPORT/EXERCISE
26,Comparison of finite helical axes of normal and anatomically designed prosthetic knees.,PROSTHETICS/ORTHOTICS
27,Locomotor activity and discriminative stimulus effects of five novel synthetic cathinone analogs in mice and rats.,NEURAL
28,Skipping has lower knee joint contact forces and higher metabolic cost compared to running.,GAIT/LOCOMOTION
29,Unsupervised gait retraining using a wireless pressure-detecting shoe insole.,METHODS
30,Differences in temporal gait mechanics are associated with decreased perceived ankle joint health in individuals with chronic ankle instability.,GAIT/LOCOMOTION
31,Investigating the reciprocal relationships between locomotor sensitization to ethanol and PTSD-like clusters in DBA/2J mice.,EVOLUTION/ANTHROPOLOGY
32,Mechanisms of noradrenergic modulation of synaptic transmission and neuronal excitability in ventral horn neurons of the rat spinal cord.,NEURAL
33,Predictors of Healing Ligament Size and Magnetic Resonance Signal Intensity at 6 Months After Bridge-Enhanced Anterior Cruciate Ligament Repair.,TENDON/LIGAMENT
34,Visual-Spatial Memory Deficits Are Related to Increased Knee Valgus Angle During a Sport-Specific Sidestep Cut.,SPORT/EXERCISE
35,"Arterial Stiffness: Different Metrics, Different Meanings.",CARDIO
36,Using Machine Learning to Predict Lower-Extremity Injury in US Special Forces.,SPORT/EXERCISE
37,"Effect of COL5A1, GDF5, and PPARA Genes on a Movement Screen and Neuromuscular Performance in Adolescent Team Sport Athletes.",SPORT/EXERCISE
38,In Utero Efavirenz Exposure and Neurodevelopmental Outcomes in HIV-exposed Uninfected Children in Botswana.,ERGONOMICS
39,Swimming Performance of a Tensegrity Robotic Fish.,ROBOTICS
40,Thigmomorphogenesis and biomechanical responses of shade-grown Serianthes nelsonii plants to stem flexure.,ORTHOPAEDICS/SURGERY
41,Biomechanical Impact of Localized Corneal Cross-linking Beyond the Irradiated Treatment Area.,HEAD
42,"Biomechanical Analysis of Subclinical Keratoconus With Normal Topographic, Topometric, and Tomographic Findings.",HEAD
43,"Functional Optical Zone and Centration Following SMILE and LASIK: A Prospective, Randomized, Contralateral Eye Study.",HEAD
44,The influence of radiographic markers of biomechanical variables on outcomes in reverse shoulder arthroplasty.,ORTHOPAEDICS/SURGERY
45,"Lameness in Beef Cattle: UK Farmers' Perceptions, Knowledge, Barriers, and Approaches to Treatment and Control.",COMPARATIVE
46,A non-invasive biomechanical device to quantify knee rotational laxity: Verification of the device in human cadaveric specimens.,JOINT/CARTILAGE
